,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
47942,6405,TNCE,medium_airport,F. D. Roosevelt Airport,17.49650001525879,-62.97940063476562,129.0,,BQ,BQ-U-A,Sint Eustatius,yes,TNCE,EUX,,,http://en.wikipedia.org/wiki/F.D._Roosevelt_Airport,
47943,6406,TNCM,large_airport,Princess Juliana International Airport,18.0410003662,-63.108898162799996,13.0,,SX,SX-U-A,Saint Martin,yes,TNCM,SXM,,,http://en.wikipedia.org/wiki/Princess_Juliana_International_Airport,
47945,309411,TNW,medium_airport,Jumandy Airport,-1.0597219999999998,-77.583333,1234.0,SA,EC,EC-N,Tena,no,SEJD,TNW,,http://www.dgac.gob.ec/tena/,https://en.wikipedia.org/wiki/Jumandy_Airport,
47949,6407,TQPF,medium_airport,Clayton J Lloyd International Airport,18.2048,-63.055099,127.0,,AI,AI-U-A,The Valley,yes,TQPF,AXA,,http://www.news.ai/ref/airport.html,http://en.wikipedia.org/wiki/Anguilla_Wallblake_Airport,Wallblake Airport
47953,44492,TR-0004,medium_airport,Temelli Air Base,39.73885726928711,32.37863922119141,2457.0,AS,TR,TR-06,Polatlı,no,,,,,,
47970,44785,TR-0021,medium_airport,Çukurhisar Airport,39.84389877319336,30.968000411987305,,AS,TR,TR-26,Alpu,no,,,,,,
47975,44790,TR-0026,medium_airport,Iğdır Airport,39.9766273499,43.8766479492,3101.0,AS,TR,TR-76,Iğdır,yes,LTCT,IGD,,http://igdır.dhmi.gov.tr/,http://en.wikipedia.org/wiki/Iğdır_Airport,
47977,44792,TR-0028,medium_airport,Keşan Airport,40.7862014771,26.606300354000002,,EU,TR,TR-22,Keşan,no,,,,,,
47992,317457,TR-0043,large_airport,Istanbul Airport,41.275278,28.751944,325.0,AS,TR,TR-34,Istanbul,yes,LTFM,IST,,http://www.igairport.com/en,https://en.wikipedia.org/wiki/Istanbul_New_Airport,
47993,324731,TR-0044,large_airport,Çukurova Airport,36.895545,35.069381,15.0,AS,TR,TR-33,Tarsus,no,,,,,https://en.wikipedia.org/wiki/Çukurova_Regional_Airport,
47994,43074,TRPG,medium_airport,John A. Osborne Airport,16.791400909423828,-62.19329833984375,550.0,,MS,MS-U-A,Gerald's Park,yes,TRPG,MNI,,,http://en.wikipedia.org/wiki/John_A._Osborne_Airport,Gerald's Airport
48109,6409,TTCP,medium_airport,Tobago-Crown Point Airport,11.149700164794922,-60.83219909667969,38.0,,TT,TT-WTO,Scarborough,yes,TTCP,TAB,,,http://en.wikipedia.org/wiki/Crown_Point_Airport,
48110,6410,TTPP,medium_airport,Piarco International Airport,10.595399856567383,-61.33720016479492,58.0,,TT,TT-TUP,Port of Spain,yes,TTPP,POS,,,http://en.wikipedia.org/wiki/Piarco_International_Airport,
48115,6411,TUPJ,medium_airport,Terrance B. Lettsome International Airport,18.444799423217773,-64.54299926757811,15.0,,VG,VG-U-A,Road Town,yes,TUPJ,EIS,,http://www.bareboatsbvi.com/beef_island.html,http://en.wikipedia.org/wiki/Terrance_B._Lettsome_International_Airport,"BVI, Beef Island Airport"
48121,322383,TVSA,medium_airport,Argyle International Airport,13.156695000000001,-61.149944999999995,136.0,,VC,VC-U-A,Kingstown,yes,TVSA,SVD,,http://www.svgiadc.com,https://en.m.wikipedia.org/wiki/Argyle_International_Airport,
48122,6412,TVSB,medium_airport,J F Mitchell Airport,12.988400459300001,-61.2620010376,15.0,,VC,VC-06,Bequia,yes,TVSB,BQU,,,http://en.wikipedia.org/wiki/J._F._Mitchell_Airport,
48123,6413,TVSC,medium_airport,Canouan Airport,12.699000000000002,-61.3424,11.0,,VC,VC-06,Canouan,yes,TVSC,CIW,,,https://en.wikipedia.org/wiki/Canouan_Airport,
48124,6414,TVSM,medium_airport,Mustique Airport,12.887900352478027,-61.1801986694336,8.0,,VC,VC-06,Mustique Island,yes,TVSM,MQS,,,http://en.wikipedia.org/wiki/Mustique_Airport,
48125,32542,TVSU,medium_airport,Union Island International Airport,12.60013484954834,-61.41194534301758,16.0,,VC,VC-06,Union Island,yes,TVSU,UNI,,,,
48130,42429,TW-0004,medium_airport,Zuoying Naval Airfield,22.70499992370605,120.28099822998048,,AS,TW,TW-KHH,Kaohsiung City,no,,,,,,"Port Saei, Tsoying, 左營區"
48261,6416,TXKF,medium_airport,L.F. Wade International International Airport,32.363998413085945,-64.67870330810547,12.0,,BM,BM-U-A,Hamilton,yes,TXKF,BDA,,http://www.bermudaairport.com/,http://en.wikipedia.org/wiki/Bermuda_International_Airport,"Kindley Air Force Base, Fort Bell Army Airfield, NAS Bermuda, Naval Air Station Bermuda"
48435,43013,UA-0005,medium_airport,Nizhyn Air Base,51.088535308800004,31.8709945679,440.0,EU,UA,UA-74,Nizhyn,no,,,,,http://en.wikipedia.org/wiki/Nizhyn_(air_base),"Nizhin Air Base, Nezhin Air Base, Аэродром Нежин"
48440,44294,UA-0010,medium_airport,Oktyabrskoe Air Base,45.31999969482422,34.09999847412109,,EU,UA,UA-43,Oktyabrskoe,no,,,,,,"Oktyabrskoye Air Base, Аэродром Октябрьское"
48442,44297,UA-0012,medium_airport,Kirovskoe Air Base,45.16699981689453,35.182998657226555,,EU,UA,UA-43,Kirovskoe,no,,,,,,"Kirovskoye Air Base, Аэродром Кировское"
48450,44311,UA-0020,medium_airport,Melitopol Air Base,46.880001,35.305,,EU,UA,UA-23,Melitopol,no,UKDM,,,,,Аэродром Мелитополь
48452,44313,UA-0022,medium_airport,Kacha Air Base,44.77999877929688,33.56999969482422,403.0,EU,UA,UA-43,Sevastopol,no,,,,,,Аэродром Кача
48455,44343,UA-0025,medium_airport,Bila Tserkva Airfield,49.79499816894531,30.03000068664551,,EU,UA,UA-32,Bila Tserkva,no,,,,,,"Belaya Tserkov Airfield, Аэродром Белая Церковь"
48458,44376,UA-0028,medium_airport,Zhovtneve Air Base,45.63999938964844,28.670000076293945,,EU,UA,UA-51,Bolgrad,no,,,,,,"Zhovtnevoye Air Base, Zhovtnevoe Air Base, Bolgrad Air Base, Аэродром Жовтневе, Аэродром Жовтневое, Аэродром Болград"
48459,44377,UA-0029,medium_airport,Bolshoy Tokmak Air Base,47.28499984741211,35.709999084472656,,EU,UA,UA-23,Tokmak,no,,,,,,"Bolshoi Tokmak Air Base, Аэродром Большой Токмак"
48570,3549,UA30,medium_airport,Batken Airport,40.042899,70.83784,3517.0,AS,KG,KG-B,Batken,yes,UAFB,,,http://www.airport.kg/index.php?option=com_content&view=article&id=4&Itemid=6,https://en.wikipedia.org/wiki/Batken_Airport,Batken
48574,6421,UAAA,large_airport,Almaty Airport,43.35210037231445,77.04049682617188,2234.0,AS,KZ,KZ-ALM,Almaty,yes,UAAA,ALA,,,http://en.wikipedia.org/wiki/Almaty_International_Airport,Alma Ata
48575,6422,UAAH,medium_airport,Balkhash Airport,46.8932991027832,75.00499725341797,1446.0,AS,KZ,KZ-KAR,Balkhash,no,UAAH,BXH,,,,Balqash
48579,6423,UACC,large_airport,Astana International Airport,51.02220153808594,71.46690368652344,1165.0,AS,KZ,KZ-AKM,Astana,yes,UACC,TSE,,,http://en.wikipedia.org/wiki/Astana_International_Airport,
