,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
1332,7767,12JY,balloonport,Clinton Elks Lodge Balloonport,40.60419845581055,-74.9207992553711,37.0,,US,US-NJ,Pittstown,no,12JY,,12JY,,,
1401,7829,13M,balloonport,Aeronut Park Balloonport,42.60419845581055,-83.85859680175781,980.0,,US,US-MI,Howell,no,13M,,13M,,,
2885,9213,28NC,balloonport,Balloonport of Greensboro Balloonport,35.9557991027832,-79.81890106201172,800.0,,US,US-NC,Greensboro,no,28NC,,28NC,,,
3189,45530,2JY7,balloonport,Alba Vineyard Balloonport,40.615689,-75.164167,240.0,,US,US-NJ,Milford,no,2JY7,,2JY7,,,
3908,10140,35JY,balloonport,Cyber Density Balloon Spot Balloonport,40.43439865112305,-74.63469696044922,75.0,,US,US-NJ,Belle Mead,no,35JY,,35JY,,,
5541,11644,4OH6,balloonport,Wingfoot Lake Airship Operations Balloonport,41.009498596191406,-81.35790252685547,1164.0,,US,US-OH,Akron Suffield,no,4OH6,,4OH6,,,
5992,12057,55NJ,balloonport,Garden State Balloonport,40.633399963378906,-74.76629638671875,185.0,,US,US-NJ,Whitehouse,no,55NJ,,55NJ,,,
6152,46296,59ID,balloonport,Palisades Field,43.184833000000005,-111.049361,5624.0,,US,US-ID,Palisades,no,59ID,,59ID,,,
6187,12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66.0,,US,US-AK,Aleknagik,yes,5A8,WKK,5A8,,http://en.wikipedia.org/wiki/Aleknagik_Airport,
6384,12432,5KS0,balloonport,Anthony Balloonport,37.09450149536133,-97.9614028930664,1250.0,,US,US-KS,Anthony,no,5KS0,,5KS0,,,
10435,3,AGGH,medium_airport,Honiara International Airport,-9.4280004501343,160.05499267578,28.0,OC,SB,SB-CT,Honiara,yes,AGGH,HIR,,,http://en.wikipedia.org/wiki/Honiara_International_Airport,Henderson Field
10440,4,AGGM,medium_airport,Munda Airport,-8.327969551086426,157.26300048828125,10.0,OC,SB,SB-WE,,yes,AGGM,MUA,,,http://en.wikipedia.org/wiki/Munda_Airport,
10462,312371,AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224000000001,11600.0,AS,CN,CN-51,Aba,no,ZUHY,AHJ,,,http://en.wikipedia.org/wiki/Hongyuan_Airport,
10686,8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22.0,OC,NR,NR-14,Yaren District,yes,ANYN,INU,,,http://en.wikipedia.org/wiki/Nauru_International_Airport,ANAU
10890,38811,AR-0136,balloonport,El Manantial Airport,-35.1943,-58.3594,49.0,SA,AR,AR-B,Coronel Brandsen,no,,,EML,,,
11618,327150,AU-0121,medium_airport,YKCY,-26.971196999999997,152.566855,400.0,OC,AU,AU-QLD,Kilcoy,no,,,,,,
11648,314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,38.74831,105.58858000000001,4560.0,AS,CN,CN-15,Bayanhot,yes,ZBAL,AXF,,,http://en.wikipedia.org/wiki/Alxa_Left_Banner_Bayanhot_Airport,
11652,53,AYBK,medium_airport,Buka Airport,-5.422319889068604,154.67300415039062,11.0,OC,PG,PG-NSB,Buka Island,yes,AYBK,BUA,,,http://en.wikipedia.org/wiki/Buka_Airport,
11659,54,AYCH,medium_airport,Chimbu Airport,-6.024290084838867,144.9709930419922,4974.0,OC,PG,PG-CPK,Kundiawa,yes,AYCH,CMU,,,http://en.wikipedia.org/wiki/Chimbu_Airport,
11668,55,AYDU,medium_airport,Daru Airport,-9.086759567260001,143.207992554,20.0,OC,PG,PG-WPD,Daru,yes,AYDU,DAU,,,http://en.wikipedia.org/wiki/Daru_Airport,
11691,56,AYGA,medium_airport,Goroka Airport,-6.0816898345900015,145.391998291,5282.0,OC,PG,PG-EHG,Goronka,yes,AYGA,GKA,,,http://en.wikipedia.org/wiki/Goroka_Airport,
11698,57,AYGN,medium_airport,Gurney Airport,-10.311499595599999,150.333999634,88.0,OC,PG,PG-MBA,Gurney,yes,AYGN,GUR,,,http://en.wikipedia.org/wiki/Gurney_Airport,
11702,58,AYGR,medium_airport,Girua Airport,-8.80453968048,148.309005737,311.0,OC,PG,PG-NPP,Popondetta,yes,AYGR,PNP,,,http://en.wikipedia.org/wiki/Girua_Airport,
11711,59,AYHK,medium_airport,Kimbe Airport,-5.462170124053955,150.40499877929688,66.0,OC,PG,PG-WBK,Hoskins,yes,AYHK,HKN,,,http://en.wikipedia.org/wiki/Hoskins_Airport,
11739,60,AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10.0,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA,,,http://en.wikipedia.org/wiki/Kerema_Airport,
11744,61,AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7.0,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG,,,http://en.wikipedia.org/wiki/Kavieng_Airport,
11761,62,AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20.0,OC,PG,PG-MPM,Madang,yes,AYMD,MAG,,,http://en.wikipedia.org/wiki/Madang_Airport,
11762,63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.826789855957031,144.29600524902344,5388.0,OC,PG,PG-WHM,Mount Hagen,yes,AYMH,HGU,,,http://en.wikipedia.org/wiki/Mount_Hagen_Airport,
11765,64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680.0,OC,PG,PG-SHM,Mendi,yes,AYMN,MDU,,,http://en.wikipedia.org/wiki/Mendi_Airport,
11766,65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12.0,OC,PG,PG-MRL,Manus Island,yes,AYMO,MAS,,,http://en.wikipedia.org/wiki/Momote_Airport,
11778,66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239.0,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,,,http://en.wikipedia.org/wiki/Lae_Nadzab_Airport,MFO
11800,67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312,146.0,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,,,http://en.wikipedia.org/wiki/Jacksons_International_Airport,
11839,68,AYTK,medium_airport,Tokua Airport,-4.34045982361,152.380004883,32.0,OC,PG,PG-EBR,Tokua,yes,AYTK,RAB,,,http://en.wikipedia.org/wiki/Rabaul_Airport,
11869,69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10.0,OC,PG,PG-SAN,Vanimo,yes,AYVN,VAI,,,http://en.wikipedia.org/wiki/Vanimo_Airport,
11873,70,AYWD,medium_airport,Wapenamanda Airport,-5.64330005645752,143.89500427246094,5889.0,OC,PG,PG-EPW,,yes,AYWD,WBM,,,http://en.wikipedia.org/wiki/Wapenamanda_Airport,
11875,71,AYWK,medium_airport,Wewak International Airport,-3.5838301181800003,143.66900634799998,19.0,OC,PG,PG-ESW,Wewak,yes,AYWK,WWK,,,http://en.wikipedia.org/wiki/Wewak_International_Airport,
11911,44941,AZ-0001,medium_airport,Zabrat Airport,40.4955422161,49.9768066406,36.0,AS,AZ,AZ-BA,Baku,no,UBTT,ZXT,,,https://en.wikipedia.org/wiki/Zabrat_Airport,
11923,44954,AZ-0013,medium_airport,Sital Chay Airport,40.8073129238,49.4314813614,,AS,AZ,AZ-XIZ,,no,,,,,,
11931,44962,AZ-0021,medium_airport,Kyzylagadzh Air Base,39.0061622679,48.8063120842,,AS,AZ,AZ-MAS,,no,,,,,,
12049,27301,BCW,medium_airport,Benguera Island Airport,-21.85330009460449,35.43830108642578,,AF,MZ,MZ-I,Benguera Island,yes,,BCW,,,http://en.wikipedia.org/wiki/Benguera_Island_Airport,
12063,324445,BE-0012,balloonport,Céroux-Mousty Ballon Field,50.660241,4.513276,,EU,BE,BE-WBR,Céroux-Mousty,no,,,,http://www.europeanballoon.be/fr/site-decollage-place-ceroux-mousty.html,,
12140,111,BG-JAM,medium_airport,Bezmer Air Base,42.4548988342,26.352199554400002,509.0,EU,BG,BG-28,Yambol,no,LBIA,JAM,,,http://en.wikipedia.org/wiki/Bezmer_Airbase,LB44
12141,31697,BGAA,medium_airport,Aasiaat Airport,68.7218017578,-52.7846984863,74.0,,GL,GL-U-A,Aasiaat,yes,BGAA,JEG,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/aasiaat/,http://en.wikipedia.org/wiki/Aasiaat_Airport,
12149,113,BGBW,medium_airport,Narsarsuaq Airport,61.1604995728,-45.4259986877,112.0,,GL,GL-U-A,Narsarsuaq,yes,BGBW,UAK,,,http://en.wikipedia.org/wiki/Narsarsuaq_Airport,
12159,114,BGGH,medium_airport,Godthaab / Nuuk Airport,64.19090271,-51.678100585900005,283.0,,GL,GL-U-A,Nuuk,yes,BGGH,GOH,,,http://en.wikipedia.org/wiki/Nuuk_Airport,Nuussuaq
12197,115,BGSF,medium_airport,Kangerlussuaq Airport,67.0122218992,-50.7116031647,165.0,,GL,GL-U-A,Kangerlussuaq,yes,BGSF,SFJ,,,http://en.wikipedia.org/wiki/Kangerlussuaq_Airport,Sondre Stromfjord
12206,116,BGTL,medium_airport,Thule Air Base,76.5311965942,-68.70320129390001,251.0,,GL,GL-U-A,Thule,yes,BGTL,THU,,,http://en.wikipedia.org/wiki/Thule_Air_Base,Pituffik
12220,117,BIAR,medium_airport,Akureyri Airport,65.66000366210939,-18.07270050048828,6.0,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,,,http://en.wikipedia.org/wiki/Akureyri_Airport,
12231,119,BIEG,medium_airport,Egilsstaðir Airport,65.28330230712889,-14.401399612426758,76.0,EU,IS,IS-7,Egilsstaðir,yes,BIEG,EGS,,,http://en.wikipedia.org/wiki/Egilssta%C3%B0ir_Airport,
12247,120,BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272,24.0,EU,IS,IS-8,Höfn,yes,BIHN,HFN,,,https://en.wikipedia.org/wiki/Hornafj%C3%B6r%C3%B0ur_Airport,
12251,121,BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001,48.0,EU,IS,IS-6,Húsavík,yes,BIHU,HZK,,,https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk_Airport,
12257,122,BIIS,medium_airport,Ísafjörður Airport,66.05809783935547,-23.13529968261719,8.0,EU,IS,IS-4,Ísafjörður,yes,BIIS,IFJ,,,http://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur_Airport,
12261,123,BIKF,large_airport,Keflavik International Airport,63.985000610352,-22.605600357055998,171.0,EU,IS,IS-2,Reykjavík,yes,BIKF,KEF,,,http://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station,REK"
12277,125,BIRK,medium_airport,Reykjavik Airport,64.1299972534,-21.9405994415,48.0,EU,IS,IS-1,Reykjavik,yes,BIRK,RKV,,,http://en.wikipedia.org/wiki/Reykjav%C3%ADk_Airport,REK
12284,126,BISI,medium_airport,Siglufjörður Airport,66.133301,-18.9167,10.0,EU,IS,IS-6,Siglufjörður,no,BISI,SIJ,,,https://en.wikipedia.org/wiki/Siglufj%C3%B6r%C3%B0ur_Airport,
12301,128,BIVM,medium_airport,Vestmannaeyjar Airport,63.42430114746094,-20.27890014648437,326.0,EU,IS,IS-8,Vestmannaeyjar,no,BIVM,VEY,,,http://en.wikipedia.org/wiki/Vestmannaeyjar_Airport,
12308,4614,BKPR,large_airport,Priština International Airport,42.5728,21.035801,1789.0,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport,"LYPR, Pristina, Slatina Air Base"
12843,34946,BY-0001,medium_airport,Balbasovo Air Base,54.43999862670898,30.29669952392578,620.0,EU,BY,BY-VI,Orsha,no,,,,,http://en.wikipedia.org/wiki/Balbasovo,"Balbasava, Bolbasovo, Orsha Southwest, Orsha"
12845,34952,BY-0003,medium_airport,Bobrovichi Air Base,52.27830123901367,29.36000061035156,440.0,EU,BY,BY-HO,Kalinovichi,no,,,,,http://en.wikipedia.org/wiki/Bobrovichi,
12848,44363,BY-0006,medium_airport,Osovtsy Air Base,52.556999206499995,24.8840007782,,EU,BY,BY-BR,Byaroza,no,UMMO,,,,,"Byaroza Air Base, Beryoza Air Base, Аэродром Осовцы, Аэродром Бяроза, Аэродром Берёза, УММО"
12892,42216,BZ-BGK,medium_airport,Big Creek Airport,16.51936912536621,-88.40791320800781,3.0,,BZ,BZ-SC,Big Creek,yes,,BGK,,,http://en.wikipedia.org/wiki/Big_Creek_Airport_(Belize),
12893,30861,BZ-CUK,medium_airport,Caye Caulker Airport,17.734699249267578,-88.03250122070312,1.0,,BZ,BZ-BZ,Caye Caulker,yes,,CUK,,,http://en.wikipedia.org/wiki/Caye_Caulker_Airport,
12894,30867,BZ-CYC,medium_airport,Caye Chapel Airport,17.7007999420166,-88.04109954833984,3.0,,BZ,BZ-BZ,Caye Chapel,yes,,CYC,,,http://en.wikipedia.org/wiki/Caye_Chapel_Airport,
12895,42209,BZ-CZH,medium_airport,Corozal Municipal Airport,18.382200241088867,-88.41190338134766,40.0,,BZ,BZ-CZL,Corozal,yes,,CZH,,,http://en.wikipedia.org/wiki/Corozal_Airport,Ranchito Airport
12896,42207,BZ-DGA,medium_airport,Dangriga Airport,16.98250961303711,-88.23098754882812,508.0,,BZ,BZ-SC,Dangriga,yes,,DGA,,,http://en.wikipedia.org/wiki/Dangriga_Airport,Stann Creek Airport
12900,42217,BZ-PLJ,medium_airport,Placencia Airport,16.536956787109375,-88.36151123046875,3.0,,BZ,BZ-SC,Placencia,yes,,PLJ,,,http://en.wikipedia.org/wiki/Placencia_Airport,
12901,35305,BZ-PND,medium_airport,Punta Gorda Airport,16.102399826,-88.80829620360001,7.0,,BZ,BZ-TOL,Punta Gorda,yes,,PND,,,http://en.wikipedia.org/wiki/Punta_Gorda_Airport,
12902,42210,BZ-SJX,medium_airport,Sartaneja Airport,18.35610008239746,-88.13079833984375,3.0,,BZ,BZ-CZL,Sartaneja,yes,,SJX,,,http://en.wikipedia.org/wiki/Sartaneja_Airport,
12903,32370,BZ-SPR,medium_airport,San Pedro Airport,17.9139,-87.9711,4.0,,BZ,BZ-CY,San Pedro,yes,MZSP,SPR,,,http://en.wikipedia.org/wiki/San_Pedro_Airport,
12907,42215,BZ-TZA,medium_airport,Belize City Municipal Airport,17.516389846801758,-88.19444274902344,16.0,,BZ,BZ-BZ,Belize City,yes,,TZA,,,http://en.wikipedia.org/wiki/Belize_City_Municipal_Airport,
12908,27300,BZB,medium_airport,Bazaruto Island Airport,-21.5411,35.4729,,AF,MZ,MZ-I,Bazaruto Island,no,,BZB,,,http://en.wikipedia.org/wiki/Bazaruto_Island_Airport,
13606,320983,CA-0671,large_airport,Cyll,53.310365000000004,-110.07202099999999,,,CA,CA-U-A,,yes,,,,,,
13608,320987,CA-0673,medium_airport,Cycd,49.054970000000004,-123.87085,,,CA,CA-BC,Nanaimo,no,,,,,,
15068,42466,CN-0002,medium_airport,Nanjing Air Base,31.998300552368164,118.81199645996094,,AS,CN,CN-32,Nanjing,no,,,,,,Dajiaochang
15069,43972,CN-0003,medium_airport,Laohutun Air Base,39.66999816894531,121.76599884033205,,AS,CN,CN-21,,no,,,,,,
15070,43973,CN-0004,medium_airport,Pulandian Air Base,39.45090103149414,122.01799774169922,,AS,CN,CN-21,,no,,,,,,
15072,44082,CN-0006,medium_airport,Beijing Shahezhen Air Base,40.14916610717773,116.3213882446289,,AS,CN,CN-11,Beijing,no,,,,,,
15073,44083,CN-0007,medium_airport,Beijing Tongxian Air Base,39.81111145019531,116.70833587646484,,AS,CN,CN-11,Beijing,no,,,,,,
15076,298989,CN-0010,medium_airport,Yinchuan Hedong International Airport,38.322758,106.39321399999999,,AS,CN,CN-64,Yinchuan,yes,ZLIC,INC,,http://www.ningxiaairport.com/,https://en.wikipedia.org/wiki/Yinchuan_Hedong_International_Airport,
15077,44127,CN-0012,medium_airport,Yuanmou Air Base,25.737499237061,101.88200378418001,3810.0,AS,CN,CN-53,Yuanmou,no,ZPYM,YUA,,,,
15078,44089,CN-0013,medium_airport,Fengning Air Base,41.26079940795898,116.61799621582031,,AS,CN,CN-13,,no,,,,,,
15079,44090,CN-0014,medium_airport,Hohhot Air Base,40.73720169067383,111.22899627685548,,AS,CN,CN-15,,no,,,,,,
15080,44091,CN-0015,medium_airport,Huairen Air Base,39.7174987793,113.142997742,3260.0,AS,CN,CN-14,Datong,no,,,,,http://en.wikipedia.org/wiki/Huairen_Air_Base,Datong Huairen Airport
15081,44092,CN-0016,medium_airport,Liangxiangzhen Air Base,39.7578010559082,116.1259994506836,,AS,CN,CN-11,Beijing,no,,,,,,
15083,44094,CN-0018,medium_airport,Tangguantun Air Base,38.78110122680664,117.06800079345705,,AS,CN,CN-12,,no,,,,,,
15085,44096,CN-0020,medium_airport,Wenshui Air Base,37.407798767089844,111.96600341796876,,AS,CN,CN-14,,no,,,,,,
15086,44097,CN-0021,medium_airport,Yangcun Air Base,39.37329864501953,117.09500122070312,,AS,CN,CN-12,,no,,,,,,Meichong
15087,44098,CN-0022,medium_airport,Yongning Air Base,40.50310134887695,116.10800170898438,,AS,CN,CN-11,Yongning,no,,,,,,
15089,44100,CN-0024,medium_airport,Zhangjiakou Ningyuan Airport,40.7386016846,114.930000305,2347.0,AS,CN,CN-13,Zhangjiakou,yes,ZBZJ,ZQZ,,,http://en.wikipedia.org/wiki/Zhangjiakou_Ningyuan_Airport,"Zhangjiakou Air Base, 张家口宁远机场"
15090,44101,CN-0025,medium_airport,Zunhua Air Base,40.102500915527344,117.88700103759766,,AS,CN,CN-13,,no,,,,,,
15091,44102,CN-0026,medium_airport,Chengdu Air Base,30.70529937744141,103.9499969482422,,AS,CN,CN-51,,no,,,,,,
15092,44103,CN-0027,medium_airport,Baoshan Yunduan Airport,25.053301,99.168297,5453.0,AS,CN,CN-53,,yes,ZPBS,BSD,,,http://en.wikipedia.org/wiki/Baoshan_Yunduan_Airport,
15095,44106,CN-0030,medium_airport,Chongqing Air Base,29.49530029296875,106.35900115966795,,AS,CN,CN-50,Chongqing,no,,,,,,
15105,44116,CN-0040,medium_airport,Lintsang Airfield,23.738100051900002,100.025001526,6230.0,AS,CN,CN-53,Lincang,yes,ZPLC,LNJ,,,http://en.wikipedia.org/wiki/Lincang_Airport,Lincang Airport
15106,44117,CN-0041,medium_airport,Luliang Air Base,24.988300323486328,103.64199829101562,,AS,CN,CN-53,,no,,,,,,
15108,44119,CN-0043,medium_airport,Mengzi Air Base,23.395299911499023,103.33399963378906,,AS,CN,CN-53,,no,,,,,,
15110,44121,CN-0045,medium_airport,Qionglai Air Base,30.489999771118164,103.46499633789062,,AS,CN,CN-51,,no,,,,,,
15111,44122,CN-0046,medium_airport,Shigatse Air Base,29.3519,89.311401,3782.0,AS,CN,CN-54,Xigazê,yes,ZURK,RKZ,,,http://en.wikipedia.org/wiki/Shigatse_Peace_Airport,
15113,44124,CN-0048,medium_airport,Wenshan Air Base,23.715599060058594,103.8270034790039,,AS,CN,CN-53,,no,,,,,,
15114,44125,CN-0049,medium_airport,Xiangyun Midu Air Base,25.44529914855957,100.73500061035156,,AS,CN,CN-53,,no,,,,,,
15115,44126,CN-0050,medium_airport,Bao'anying Airport,26.54,101.79852,1620.0,AS,CN,CN-51,Panzhihua,yes,ZUZH,PZI,,,http://en.wikipedia.org/wiki/Panzhihua_Bao'anying_Airport,"Xining Air Base, 攀枝花保安营机场"
15118,44131,CN-0053,medium_airport,Baihe Ning Ming Air Base,22.1205997467041,107.125,,AS,CN,CN-45,,no,,,,,,
15120,44133,CN-0055,medium_airport,Changsha Datuopu Airport/AFB,28.0688991547,112.958000183,170.0,AS,CN,CN-43,Changsha,no,ZGCS,,,,,Changsha City Airport
15121,44134,CN-0056,medium_airport,Dangyang Air Base,30.798599243164066,111.80999755859376,,AS,CN,CN-42,,no,,,,,,
15122,44135,CN-0057,medium_airport,Foluo Northeast Air Base,18.69219970703125,109.16100311279295,,AS,CN,CN-46,,no,,,,,,
15126,44139,CN-0061,medium_airport,Foshan Shadi Airport,23.0832996368,113.069999695,6.0,AS,CN,CN-44,Foshan,yes,ZGFS,FUO,,,http://en.wikipedia.org/wiki/Foshan_Shadi_Airport,Guangzhou Shadi Air Base
15128,44141,CN-0063,medium_airport,Guiping Mengshu Air Base,23.330799102783203,110.00900268554688,,AS,CN,CN-45,,no,,,,,,
15133,44146,CN-0068,medium_airport,Huizhou Airport,23.0499992371,114.599998474,50.0,AS,CN,CN-44,Huizhou,yes,ZGHZ,HUZ,,,http://en.wikipedia.org/wiki/Huizhou_Airport,"Huiyang Air Base, Pingtan Airport"
15134,44147,CN-0069,medium_airport,Jialaishi Air Base,19.697200775146484,109.72599792480469,,AS,CN,CN-46,,no,,,,,,
15136,44149,CN-0071,medium_airport,Leiyang Air Base,26.587200164794922,112.89199829101562,,AS,CN,CN-43,,no,,,,,,
15137,44150,CN-0072,medium_airport,Lingshui Air Base,18.494400024414066,109.98799896240234,,AS,CN,CN-46,,no,,,,,,
15139,324349,CN-0074,medium_airport,Shangqiu Air Base,34.449507000000004,115.45926100000001,,AS,CN,CN-41,Shangqiu,no,,,,,https://en.wikipedia.org/wiki/Shangqiu_Airport,
15141,324768,CN-0076,medium_airport,Zhengzhou Air Base,34.86125,113.72963100000001,,AS,CN,CN-41,,no,,,,,,
15144,44157,CN-0079,medium_airport,Shaoguan Guitou Airport,24.9785995483,113.42099762,280.0,AS,CN,CN-44,Shaoguan,no,,HSC,,,http://en.wikipedia.org/wiki/Shaoguan_Guitou_Airport,Shaoguan Air Base
15145,44158,CN-0080,medium_airport,Suixi Air Base,21.39579963684082,110.1999969482422,,AS,CN,CN-44,,no,,,,,,
15146,44159,CN-0081,medium_airport,Jinggangshan Airport,26.8568992615,114.73699951200001,281.0,AS,CN,CN-36,Ji'an,yes,ZSJA,JGS,,,http://en.wikipedia.org/wiki/Jinggangshan_Airport,Tiahe Air Base
15147,44160,CN-0082,medium_airport,Baise Youjiang Airport,23.7206001282,106.959999084,490.0,AS,CN,CN-45,Baise,yes,ZGBS,AEB,,,http://en.wikipedia.org/wiki/Baise_Youjiang_Airport,"Tian Yang Air Base, Bose airport, 百色右江机场"
15148,329666,CN-0083,large_airport,Guodu air base,36.001740999999996,117.63201000000001,,AS,CN,CN-U-A,,no,,,,,,
15150,44163,CN-0085,medium_airport,Xiaogan Air Base,30.95439910888672,113.91100311279295,,AS,CN,CN-42,,no,,,,,,
15151,44167,CN-0089,medium_airport,Baitabu Air Base,34.571399688720696,118.875,,AS,CN,CN-32,,no,,,,,,
15152,44168,CN-0090,medium_airport,Cangxian Air Base,38.40250015258789,116.9290008544922,,AS,CN,CN-13,,no,,,,,,
15153,44169,CN-0091,medium_airport,Dongying Shengli Airport,37.508598327600005,118.788002014,15.0,AS,CN,CN-37,Dongying,no,ZSDY,DOY,,,http://en.wikipedia.org/wiki/Dongying_Shengli_Airport,"Dongying Air Base, Dongying Yong'an Airport"
15154,44170,CN-0092,medium_airport,Jiaozhou/Jiaocheng Air Base,36.33060073852539,120.02400207519531,,AS,CN,CN-37,,no,,,,,,
15155,44171,CN-0093,medium_airport,Jinan Air Base,36.67919921875,116.9209976196289,,AS,CN,CN-37,,no,,,,,,
15156,44172,CN-0094,medium_airport,Jiugucheng Air Base,37.4900016784668,116.11799621582031,,AS,CN,CN-13,,no,,,,,,
15157,44173,CN-0095,medium_airport,Kaifeng Air Base,34.75389862060547,114.33899688720705,,AS,CN,CN-41,Kaifeng,no,,,,,,
15158,44174,CN-0096,medium_airport,Laiyang Air Base,36.963600158691406,120.59100341796876,,AS,CN,CN-37,,no,,,,,,
15159,44175,CN-0097,medium_airport,Luyang Air Base,33.68470001220703,112.89099884033205,,AS,CN,CN-41,,no,,,,,,
15160,44178,CN-0100,medium_airport,Qingdao-Cangkou Air Base,36.15919876098633,120.39199829101562,,AS,CN,CN-37,,no,,,,,,
15162,44181,CN-0103,medium_airport,Wendeng Air Base,37.26470184326172,122.02300262451172,,AS,CN,CN-37,,no,,,,,,
15163,44182,CN-0104,medium_airport,Xingcheng Air Base,40.580299377399996,120.69799804700001,30.0,AS,CN,CN-21,,no,ZYXC,XEN,,,,
15164,44183,CN-0105,medium_airport,Xuzhou Daguozhang Air Base,34.05889892578125,117.55799865722656,,AS,CN,CN-32,,no,,,,,,
15165,44184,CN-0106,medium_airport,Xuzhou Jiulishan Air Base,34.23059844970703,117.24600219726562,,AS,CN,CN-32,,no,,,,,,
15166,44187,CN-0109,medium_airport,Yidu Air Base,36.591400146484375,118.5270004272461,,AS,CN,CN-37,,no,,,,,,
15167,44189,CN-0111,medium_airport,Zhucheng Air Base,36.02750015258789,119.43900299072266,,AS,CN,CN-37,,no,,,,,,
15168,44191,CN-0113,medium_airport,Altay Air Base,47.7498855591,88.0858078003,2460.0,AS,CN,CN-65,Altay,yes,ZWAT,AAT,,,http://en.wikipedia.org/wiki/Altay_Airport,
15169,44192,CN-0114,medium_airport,Baoji Air Base,34.531700134277344,107.47200012207031,,AS,CN,CN-61,,no,,,,,,
15170,44195,CN-0117,medium_airport,Gonghe Air Base,36.33670043945313,100.4800033569336,,AS,CN,CN-63,,no,,,,,,
15171,44201,CN-0123,medium_airport,Lanzhou Air Base,35.91780090332031,104.21800231933594,,AS,CN,CN-62,Lanzhou,no,,,,,,
15172,44203,CN-0125,medium_airport,Ljtao Air Base,35.30830001831055,103.83599853515624,,AS,CN,CN-62,,no,,,,,,
15173,44205,CN-0127,medium_airport,Qingshui Air Base,39.5546989440918,98.88420104980469,,AS,CN,CN-62,,no,,,,,,
15175,44208,CN-0130,medium_airport,Tianshui Maijishan Airport,34.559398651100004,105.86000061,3590.0,AS,CN,CN-62,Tianshui,yes,ZLTS,THQ,,,http://en.wikipedia.org/wiki/Tianshui_Maijishan_Airport,"Tianshui Air Base, 天水麦积山机场"
15176,44210,CN-0132,medium_airport,Urumqi South Air Base,43.46580123901367,87.5322036743164,,AS,CN,CN-65,,no,,,,,,
15177,44211,CN-0133,medium_airport,Uxxaktal Air Base,42.181400299072266,87.18810272216797,,AS,CN,CN-65,,no,,,,,,
15178,44212,CN-0134,medium_airport,Wugong Air Base,34.274200439453125,108.26599884033205,,AS,CN,CN-61,,no,,,,,,
15179,44213,CN-0135,medium_airport,Wulumuqi Air Base,43.9502983093,87.0785980225,2425.0,AS,CN,CN-65,,no,,,,,,
15180,44214,CN-0136,medium_airport,Wuwei Air Base,37.98830032348633,102.56700134277344,,AS,CN,CN-62,,no,,,,,,
15181,44215,CN-0137,medium_airport,Xian Air Base,34.15390014648437,108.5989990234375,,AS,CN,CN-61,,no,,,,,,
15182,44216,CN-0138,medium_airport,Xincheng Air Base,25.54829978942871,114.61900329589844,,AS,CN,CN-36,,no,,,,,,
15183,44217,CN-0139,medium_airport,Yaerbashi Test Range,43.07720184326172,92.80809783935548,,AS,CN,CN-65,,no,,,,,,
15184,44218,CN-0140,medium_airport,Yanliang Air Base,34.64390182495117,109.24299621582031,,AS,CN,CN-61,,no,,,,,,
15185,44221,CN-0143,medium_airport,Zhangye Ganzhou Airport,38.8018989563,100.67500305200001,5280.0,AS,CN,CN-62,Zhangye,yes,ZLZY,YZY,,,http://en.wikipedia.org/wiki/Zhangye_Ganzhou_Airport,"Zhangye Southeast Air Base, 张掖甘州机场"
15186,44223,CN-0145,medium_airport,Changzing Air Base,30.96859931945801,119.7310028076172,,AS,CN,CN-33,,no,,,,,,
15187,44224,CN-0146,medium_airport,Daishan Air Base,30.287799835205078,122.1449966430664,,AS,CN,CN-33,,no,,,,,,
