,Sentence
559,possible ground staff makes anouncement late departure due late arrival airplane 5 minutes official boarding time
560,wherever plane came possible pilot contacts ground staff point destination minute leave delay time onwards possible calculate clearly plane arrive
561,flight time booked smart fare gave extra legroom seat snackdrink 23kg hold luggage good price
562,cabin clean comfortable seat plenty legroom 64 tall
563,efficient pleasant cabin crew
564,went germanwings manchester cologne 21st october returned 28th october first time airline satisfied would definitely recommend friends flights time staff helpful
565,✅ trip verified use travel delhi mumbai week experience goair worst
566,service good ground service worst
567,opened gates late flights always delayed
568,go air late night flight goa mumbai
569,flight delayed hour got mumbai 2am
570,flight service good
571,check procedure excellent
572,wife flew bahfrabah new a320 business class helpful friendly crew smiling time
573,liked full flat seats comfortable food normal taste good offered us small portion
574,inflight entertainment system good touch screen slow good selection movies tv shows brand new shows
575,general good experience use
576,dohbahmxp return may excellent cabin crew quality food also good quantity portable entertainment system worked fine without many options legs departures arrivals time
577,falcon gold lounge bahrain little bed cramped fine 2 hours connection flight
578,flew sydney honolulu honolulu las vegas back honolulu a330 overall flights good especially international legs seats 330 far hard
579,flight attendants good flew honolulu brisbane old 767 actually aircraft comfortable would preference 330 every time
580,phoenix oahu hawaiian return flight 4 hour delay due mechanical problem plane
581,food awful even food charged looked awful
582,positive staff friendly
583,helpful checkin people brilliant crew
584,nice cabin clean fresh aircraft
585,best economy airline usa long way
587,seat comfortable avod movies
588,cabin crew young lack experience newspaper provided like kacx food awful tiny size reason fly hx low airfare shanghai hong kong
589,zurich madrid return good attentive service flights iberia always time
590,good food beverage quality international flights europe get full meal reasonable fare business class
591,madmex ground service perfect check lines fast track lounge boarding
592,board nice crew welcome drinks nice new business cabin
593,seat 5l window private feel good space ife ok
594,food drinks service perfect 12hr flight
595,arrival time bags short belt leaving airport short 40 min
596,flew heathrow madrid lima first leg bad flight lima horrendous sit 10 rows apart food inedible plane old unsuitable 12 hour flight entertainment virtually non existent staff surly want serve thing water appeared rationed
597,flew back buenos aires comments applied apart food supplied argentina edible fact airline food quite good
598,surprisingly good experience good value money
599,check efficient seating comfortable spacious
600,crew friendly efficient food sale board good quality inflight entertainment good short flight
601,return flights goa delhi experience enjoyable efficient checking friendly polite cabin crew new air planes
602,✅ verified review wonderful flight tehran paris new a330 modern
603,good entertainment system small number film music choices good flight map
604,aircraft clean
605,two meals served first good breakfast snack later
606,flew new york narita last month seat comfortable food good really par best airlines
607,jal flight crew best one best flight experiences crew
608,friendly flight attendant take care passengers efficiently
609,excellent flight cabin dash 8100 needs serious refresh confortable seats
610,flight time respected
611,gate employees air canada jazz offer good service
612,jet airways boeing 737900 seat pitch really uncomfortable used high configuration international flight use domestic service india
613,cabin crew attentive poor inflight experience
614,really pleasant early morning flight shared lounge ok wanted coffee
615,check superb crew responsive pleasant
616,food tasty short flight service could faulted
617,plane looked new seats reasonably comfortable bags soon arrival carousel
619,seat comfortable
620,poor meals long haul flights
621,travelled kolkata london heathrow via mumbai appalled lack customer service rude staff constantly bumped aisle without apologising one 2 bags left mumbai
622,overall poor level service
623,impressed excellent service going calgary returning home victoria husband needed assistance terminals given kind courteous care terminals
624,excellent flight ewr last week
625,great service lounge air time ways
626,seats uncomfortable seem little padding recline
627,staff onboard pleasant helpful unfortunately price food drink bit steep
628,boarding chaotic say least delayed 45 minutes way time coming back
630,standard similar easyjet better ryanair jet2 deliver budget service definitely budget price booked 9 months advance
631,always flew thomas cook went jet2 year could fault cabin crew helpful friendly staff airports great even waiting last suitcases carousel
632,manchester las palmas return excellent flights ways newer 737800 aircraft
633,cabin crew flights friendly efficient food drink available purchase good standard
634,seats little uncomfortable however legroom adequate would recommend jet2
635,friendly staff comfortable clean aircraft great selection complementary refreshments board
636,one complaint small delay jfk jetblue experience pleasant
637,september 15 2013 husband flew aruba boston best flight
638,flt 774 wonderful captain pleasant flight attendants could accommodating entertaining
639,bwibosbwi e190 service could better
640,fas friendly entertainment system fantastic
641,also plenty legroom
642,first flight time though second hour late
643,cabin crew friendly helpful flight 2 hours snacks given free well drinks
645,flight well priced seats comfortable plenty legroom
646,great seats
647,wish able use jetblue long flight costa rica
648,short flight comfortable staff friendly
649,bad dont fly places go
650,jfkpdx flight crew helpful kept us loop delays professional great choice
651,even legroom seats feel like first class dont large price tags attached
652,00pm jetstar airways flight changi melbourne first thing noticed flight cramped seats uncomfortable
653,saver fare food included found prices reasonable onboard water free
654,flown jetstar many times domestic flights fly international comfort service par compared budget airlines scoot airasia x
655,surprised find flight perth brisbane food provided
656,wait enormous queue hour time get breakfast airport
657,tpekix easy checkin friendly staff time flight
658,especially glad discover quite flexible regarding carryon luggage mine slightly larger accepted standard saw family carrying least 3 times board probably due less full flight still good surprise lowcost airline
659,flew jetstar asia hkg sin low cost airline company good service nice clean plane friendly staff
660,flight phnom penh singapore time spotlessly clean aircraft friendly efficient staff
661,five hour delay way monastir manchester explanation apology given
662,flight details given captain attendants surly rude unhelpful
663,flight home time filthy dirty
664,horrible experience far worst airline misfortune travel
665,✅ trip verified excellent experience staff first class food entertainment high standard easy travel ground support excellent 5 stars round seat comfortable loads space highly recommend
666,budapest london via amsterdam klm crew friendly happy help
667,cabin nice seats comfortable
668,departed arrived time food drink served good
669,mexico city amsterdam b747400 combi checkin efficient flight delayed 10 minutes
670,food wasnt really good crew friendly professional ife good lots recent movies music
671,flight good overall delay bad food
672,flight toronto amsterdam delayed 4 hours
673,20 voucher given delayed invalid throughout airport klm staff rude refused explanation asked
674,flight amsterdam toronto delayed entertainment screen approximately half seats including mine work
675,good experience travel klm
676,kulcgk delayed 45 minutes aircraft late departing amsterdam
677,welcome drink meal really poor got vegetarian sandwich tasteless
678,flight attendants poor inflight entertainment good
679,travelled manchester montreal via amsterdam enjoyed flights klm service flights perfect cant say return leg air france book klm next year sure
680,✅ verified review mumbai seoul incheon korean air flight time food served flight delicious
681,excellent service provided cabin crew found ground service best
682,good inflight entertainment
683,vienna auckland via seoul incheon good price korean air businessclass
684,staff service nice
685,organisation airports flight perfect
686,food good infotainment ok
687,seats good clean condition
688,lots room space store stuff long flights
689,fly long distance korean air good choice
690,good service ke644 ke643 singapore incheon airport return domestic flight gimpo jeju airport
691,service great even asked extra drink flight back landing smooth
692,leg room singapore incheon singapore great domestic flight cramped
693,seat comfortable leg rest though 777200 737900
694,flew business class a300600 jeddah kuwait seats alright inflight entertainment really bad
695,attitude crew excellent food delicious take alright landing superb
696,bangkok manila business class fare attractive cabin staff helpful
697,food quite business class standard major airlines
698,flight time luggage given priority labels meant immigration quickly
699,flew santiago sao paulo premium economy good experience
700,departed little late however arrived ontime concerns
701,reading earlier reviews little apprehensive service however found staff efficient friendly meal good… would go far say far better qantas also pe sydney santiago
702,smrbog late evening flight coach offer business colombian domestic flights time departure fairly comfortable seating rather old a320
703,good beverage snack service least better aviancas
704,quick baggage retrieval upon arrival bog new domestic terminal offered nice experience given day sunday arrival 8pm time
705,overall nice flight
706,limscllim economy good flights good inflight entertainment seat comfort
707,service first flight fairly good cold return flight service good always warm smile
708,meal services flights fairly good
709,terrible service premium business booked originally miascl economy using mileage lanpass able upgrade service awful staff disappeared shortly dinner service reappeared breakfast service truly unprofessional quick
710,think mileage paid much poor service
711,santiago easter island return two long flights good
712,excellent service attentive pleasant staff varied inflight entertainment system better many airlines business class
713,vientiane chiang mai turbo prop plane modern flight friendly staff little snack would fly
714,pakse vientiane nice new aircraft time good service would happy fly airline
715,bkkvte clean cabin good service friendly helpful staff
716,departure arrival time
717,lot flight late venice lo310 flight lviv lo225 didnt wait spend 10 hours warsaw get know flight put also delayed hour ground crew doesnt even know exact time flight crew also late flight delayed flight
718,flight beirutwarsaw pleasant time passed quickly
719,staff flexible professional
720,free food though
721,✅ verified review coffee gate cancelled reduce costs newspapers anymore costs outside position costs late narrow flight schedule
722,seats ok staff usually friendly also lounge dresden ok premium airline anymore
723,nice bangkok via frankfurt lufthansa business class leg room middle seat blocked 30 inch pitch
724,service excellent stewardess super personable
725,frankfurt bangkok flew premium economy interesting product although seats thin offer good recline great video
726,found food disgusting real separation economy
727,great airline great service business class love boeing 7478
728,super quiet aircraft open spaces lots room carryon
729,ife hd bit disappointing new aircraft
730,overall flight average quality business class
731,seats comfortable privacy low
732,overall service quality food drinks good
733,paid full priced business flight frankfurt cairo got stuck plane economy seats inflight entertainment whatsoever im giving one star theres option zero magazines except newsweek time english language newspapers short avoiding lufthansa future
734,even downsize particular reason route without giving discount ipads movies
735,flight staff friendly committed providing good service
736,food quality okay portions small 11 hour flight
737,seating uncomfortable providing little leg room
738,lh 439 a330 dfwfra friendly attentive professional staff
739,nice flight old business class seats getting outdated
740,overall great service assistance ticket counter upgrading business class miles service board
741,check efficient business class
742,flight lh431 expected good
743,chosen seat good long legs
744,departure arrival nearly time
745,served breakfast poor
746,good attentive service 431 ord fra january 3rd even though economy class
747,meal quality bad completely tasteless chicken seats plus legroom narrow much sardine box feeling long distance flight
748,sinkul mh602 kullhr mh4 first flight left time staff friendly attentive aircraft excellent condition 4 hour delay mh4
749,offered us free meal voucher left scheduled time 14
750,a380 excellent supercomfortable even economy class staff nice food good well weve two full meals one snack 13hrs flight
751,however delay delayed cancelled flights ive seen airport wouldnt fly
752,short jnbcpt best flight
753,check efficient aircraft comfortable magazine interesting staff capable friendly customer focussed
754,check efficient aircraft comfortable magazine interesting staff capable friendly customer focussed
755,goes show friendly staff really make difference
756,✅ trip verified flight time
757,crew friendly problem seats
758,seat good leg space extremely good economy seat
759,takeoff landing pretty smooth entertainment good tvs new planes really better old ones food delicious new planes really quiet
760,good flight totally recommend mea
761,gatwick florence back flight time staff helpful friendly seats plane good legroom
762,flew london gatwick sanford florida wife two daughters excellent flight premium cabin meals seats truly professional friendly service cabin crew monarch airlines said return flight back london gatwick
763,issue monarch need address inflight entertainment im sure speak everybody aircraft picture quality variety makes long haul flight long long flight
764,flew premium london gatwick sanford florida wife 2 daughters wonderful flight outbound inbound meals excellent
765,monarch flight crew professional friendly found seats comfortable
766,side inflight entertainment poor quality tv screens available information showing flight worth
767,good long haul flight
768,gatwick lanzarote return planes clean tidy cabin crew polite
769,leg room okay different easyjet
770,flights time outbound return would hesitation booking
771,fly every week spain england using ryanair easyjet norwegian monarch 3 years trip honestly say monarch worst airline far look short haul flight time flying ryanair best followed norwegian easyjet monarch awful nearly always delay feeble excuse get plane
772,return lgwace june outbound delayed 2 hours french atc strike monarchs fault return time
773,booked extra legroom really essential service good hassle friendly staff much prefer monarch others extra legroom necessary doubt could cope standard seating
774,bangkok yangon november year pleasantly surprised really condition aircraft b737 ex turkish pegasus charter jet inside narrow seats economy old outdated seats business class fact 6 passengers aircraft service several flight attendants really friendly efficient
775,food really good comparison thai airways well everything
776,surat thani bangkok nok air really liked service provided company value money nice set planes
777,moreover short flight still served great snack
778,✅ verified review norwegian game changer great service provided boeing 787 gatwick fort lauderdale
779,quiet efficient comfortable good service route
780,excellent value money premium economy good food loads vino nice touches
781,husband 2 friends returned trip tenerife flying norwegian air travel often impressed service efficiency airline staff helpful friendly recommend family friends
782,travelled malaga gatwick modern plane efficient friendly staff great free wifi
783,good low cost carrier constant advertising announcements like ryanair
784,great price would highly recommend norwegian certainly travel
785,athrho excellent new a320 aircraft smiley crew helpful leather seats excellent service enough legroom
786,flight time
787,excellent take landing
788,paris muscat return oman air good airline
789,seat comfortable cabin beautiful cabin crew lovely
790,however food bad flight paris muscat
792,cabin crew friendly professional
793,drinks free food
794,return flight delayed due late arrival plane
795,overall good experience hourlong flights
796,aircraft new staff fine even gave sweets children legroom airlines drinks food comparable uk budget carriers cheaper ryanair
797,may emirates first class good service
798,currently sat tarmac gatwick hour 15 mins departure time boarded time pushed back hour ago
799,delay apparently due air traffic issues however flights seem slight delays impressed far
800,flight ankara istanbul flight time pleasant air crew bought tea cake asked milk tea given impressed internal flight
801,budget airline fine
802,flew istanbul airport ankara return time flights short flight times good value money £30 return includes 15kg case
803,✅ trip verified melbourne manila february 2018 great service good food selection beverages
804,polite professional flight attendants cant understand peoples comments harsh
805,nice flight manila cebu
806,plane new staff friendly
807,perfect flight short distance
808,travelled pakistan many times pia toronto karachi say experience great
809,staff friendly courteous inflight entertainment good
810,food good except return
811,bathrooms dirty overall experience good
813,also delayed zanzibar nairobicopenhagen 28 hours
814,refund food drink service
815,verified would like thank qantas staff fantastic service given wife flying medowie rockhampton wife walk far suffers infosemia diabetic qantas staff wheelchair waiting changeover brisbane fantastic
816,would like thank staff great work
817,perth brisbane great flight qantas bit concerned boeing 737 ife reconfigured plane great
818,boxed meals cabin crew ground staff good
819,tokyo haneda sydney boeing 747400 reasonably pleasant flight
820,although cabin refurbished okay cleanliness areas good
821,staff pleasant enough though night time departure appeared really
822,took breakfast service good good portion sizes versus last trip
823,nice amenities doona etc supplied seat comfortable enough 6 hour sleep
824,staff excellent check qantas club assistant tried locate sun glasses previous flight serving attendants club lounge
825,birthday husband mentioned checkin excellent treatment
826,disappointment old plane really cramped seats worst travelled
827,thought qantas recently recommencing route several years abeyance would gone impress promote service best planes sadly
828,first time qantas quite pleasant flight flight attendants professional comfort seat fine flat bed
830,amenities offered bit simple overall experience good
831,bad point seat narrow seat tall guys
832,flew domestic flight sydadlsyd business class seats standard recliner seats b737800 overhead entertainment food service good great value money
833,excellent service even though seat pitch 31 comfortable would expect
834,business class upper deck 747400 seat good peaceful
835,food great eggs served almost raw
837,alice springs cairns b717 great crew tasty hot meal served usual good qantaslink service
838,emdbne dash 8 400 one class cabin good flight friendly attentive cabin staff could
839,snack coffee served alcohol 4pm seats leather comfortable short haul recline
840,6 found adequate leg room
841,excellent service airlines could learn
842,mellstmel qantaslink q400s excellent ontime comfortable flights hardworking flight attendants
843,return late afternoon flight launceston offers free top quality wine plus snack coffee better business class flights carriers
844,verified pleasant flight kuala lumpur doha doha london heathrow qatar airways
845,crew professional service impeccable onboard
846,good option fly transit doha
847,riyadh lahore via doha qatar airways good airline
848,staff friendly well cooperative
849,aircraft good condition ife system date
850,seats a350 riyadh doha good doha lahore a330 seats like average 4 star airline
851,flights time early cant ask better
852,meals plentiful tasty good selection drinks brought around want anything else call flight attendant often answering calls
853,8 november 2014 cape town doha a330300 nice experience
854,leg space food service good
855,doha dubai b787 dreamliner although new aircraft leg space bad
856,12 november 2014 return doha airbus a330300 nice flight good service
857,✅ trip verified extraordinary trip istanbul casablanca royal air maroc professional staff cabin well equipped amenities make forget 5 hours travel
858,flight horrible
859,rome casablanca one help us plane dirty service poor unfriendly willing talk us even though trying speak french
860,arrived 2 hours late luggage didnt make repeat trips airport wait planes come see luggage one bag arrive day leave 9 days later
861,worst airline ever experienced changed trip 5 times departure course without telling impossible get touch refuse get hotel leave middle nowhere last leg trip cancelled
862,✅ trip verified cairo montreal via amman everything perfect friendly cabin crew flights online food great comfortable seats highly recommended
863,great flight abu dhabi amman last month long weekend vacation
864,seats comfortable compared airlines short duration flights
865,flight time crew attentive
866,thanks pleasant experience rj
867,✅ verified review ryanairs hub paris little far paris disappointing accessible orly cdg nethertheless great time flight ryanair paris beauvais venice treviso great price
868,everything ran smoothly ground onboard crew informative pleasant
869,ryanair flight time arrived early leeds lanzarote
870,compared miserable cabin crew outward journey crew flight fantastic
871,worked hard provide excellent customer service friendly helpful
872,captain gave lots information several time throughout flight although encountered lots turbulence bumpy approach snowstorm leeds felt confident good hands
873,excellent value money flight
874,staff pleasant adjustment seat found comfy minimised passenger interference
875,boarding home leg little chaotic due logics ryanair ground staff
876,read onboard limits stuck extras little hold luggage loaded hold ups could made flight
877,good experience nearly new plane
878,clean cabin professional cabin crew
879,best seat pitch im tall 186cm ok 1 hour flight
880,would like say flown ryanair number years always left arrived time think many negative reviews always happy ryanair recently go london work business another airline delayed ways
881,ryanair frills airline staff attentive pleasant
882,flight time seats comfortable enough low cost airline friendly efficient staff
884,crew friendly seats comfortable wanted
885,flew prestwick palma mallorca 25th aug problems easy check actually managed print boarding passes lot people seem 2 problem although dont know im hopeless computers
886,return flight 2 weeks later probs used ryanair 3 times bother time got return flights almost cheap cost taxi fare airport using think people making problems moan
887,flying london stansted murcia years must say comply rules everything fine trouble always time staff nearly always friendly enough flight number fr8027 fr8028
888,flight kabul dubai weekend delayed safi airways hadnt paid fuel bill
889,poor service sas scandinavian way düsseldorf stockholm
890,planes delayed seats changed boarded online early use service changing plane seating anyway
891,might well stuff people plane window seats anymore smaller plane
892,dublin svolvaer via oslo bodo tromso dublin via oslo faultless service seamless transfers friendly helpful staff reasonable price
893,flight delayed 2 hours made miss connecting flight
894,food good old plane
895,parents arewere leaving today flight leave 3 delayed 5 8 11 1am finally given notice come back tomorrow 3 changed 5
896,toronto ponta delgada 3 times year excellent service value flights time early
897,cabin crew friendly helpful
898,✅ trip verified booked dubai kuala lampur via riyadh check flight suddenly cancelled later excuse bad weather definitely bad weather checked
899,rebooked via jeddah flight arrived late missed appointment saudi airlines compensated 98aed absolutely disaster
900,first time flying saudi arabian airlines toronto abu dhabi via jeddah riyadh returning back toronto via jeddah good airline excellent service entertainment food tasty good seats
901,delays excellent departures landing
902,price cheap
903,jedmed flown 2312014 3 years old a320 however aircraft extremely dirty seats dirty
904,flight duration one hour crew friendly
905,singapore perth scoot 15th november one best flights done
906,plane seats great staff great meal good
907,would hesitate fly issue understanding wifi fault
908,scoot good budget airline
909,hangzhou guilin service fine 737300 good condition
910,however seat pitch horrible anymore 29 inches avoid flight 56 height
911,chengdushanghai hongqiao old b757 flight delayed 1hr usual took shuttle bus boarding even chengdu new airport terminal almost empty
912,seat hard narrow dirty food awful tasteless crew friendly still provide efficient service somehow
913,shanghai hongqiaolijiang old b737 early morning flight 7
914,40am however still delayed 2 hrs due air traffic control according shanghai airlines
915,seat leg room narrow uncomfortable simple breakfast lowquality beverages served 4hrs flight entertainment
916,shenzhen chongqing new a320 good service
917,mandarin local accent poor english acceptable regional flight okay food toilet clean
918,shanghai hongqiao chengdu inflight safety checking seatbelts checking overheads warning otherwise unruly chinese passengers best service food ive flight
919,service quality good aa business
920,sin chengdu 10 nov 2013 first time silk air pleasantly surprised low cost carrier excellent service food drinks good
921,chiangmai singapore flight time cabin crew nice friendly
922,plane good condition food average inflight entertainment good
923,overall good short flight
924,verified flew singapore manchester sunday 28th october honestly say best economy flight travelled
925,comfortable seats tasty food snacks exceptionally clean toilets great cabin crew
926,✅ verified review pleasant flight hong kong singapore singapore airlines
927,manage flights well almost everything perfect boarding phase landing flight
928,also serve great food beverages passengers
929,singapore melbourne plane took seems like older others singapore airlines fleet seats bit spacious
930,cabin crew nice since taking midnight flight would hardly see cabin crew talking passengers walking past
931,lot choices inflight entertainment overall flight pleasant
932,attentive singapore airlines crew good service always 3 drinks run 1 meal service conducted 5 hour flight singapore mumbai
933,service efficient good
934,food choices western indian food also offered full coke flight good gesture
935,singapore airlines brilliant inflight entertainment nice lot new movies
936,food nice portion could little cabin staff really well trained thoughtful plane actually land gave candy child consume knows landing air pressure quite nasty kids might like thats gave child candy
937,wife flew 12 month old son london joburg overnight thanks wonderful staff brilliant experience allocated us whole centre row son could lay sleep attentive throughout regards milk
938,food adults great drinks highly recommended
939,jnbiadjnb old dirty plane blankets smelt limited choice movies
940,return flight cancelled due technical issues gate staff called transit police iad times passengers started asking questions reasons delay turned cancelled flight 3 days row
941,lhrjnb a340 business flight generally good
942,friendly crew food adequate quality quantity good
943,wine excellent
944,seat relatively comfortable fully flat bed
945,minor delay baggage collection jnb
946,wonderful experience jfkjnb business class a340 lie flat seats top notch round comfort food staff entertainment
947,sfolas flight delayed 20 minutes fine considering budget airline didnt expect much service complimentary 2 pieces checkin baggage delightful spacious legroom friendly cabin crew free soft drinks served enjoyable experience southwest
948,✅ trip verified business flight spicejet chennai mumbai airport decent support flight crew members also friendly well trained deal passengers
949,overall good comfortable flight journey
950,flew bangalore bangkok last month good experience time arrival time departure
951,cabin staff cooperative friendly
952,negative part per legroom comfortable longer travelling
953,time departure blr 30 mins early kolkata
954,relatively old aircraft well maintained
955,quality food served good
956,uncomfortable seat fixed odd partial reclined angle little padding made hellish redeye crosscountry flight
957,one hour delay much spent seated plane increased misery
958,terrible delays poor customer service airline delays missing connection ended fly next day ended taking five flights get houston puerto rico
959,delayed 2hrs leaving detroit paid small fortune baggage fees
960,return delayed leaving denver
961,flight laguardia got cancelled waited airport 3 hours ground staff entirely unhelpful
962,flight back chicago also got delayed 3 hours ground staff entirely unhelpful
963,shanghaiwenzhou 55 mins flight cheap ticket booked directly website paid chinese bank card however english version online payment available
964,legroom tight aircraft didnt look clean pa done chinese made english could hardly understood
965,noisy due constant onboard sales
966,smiles crew would recommend get cheap tickets otherwise dont bother fly regular airline
967,flew dubai colombo recently boarding dubai quick flight time crew friendly courteous food good
968,however wasnt personal ife plus family seated behind us nuisance sort discomforted journey
969,good time flying srilankan
970,flight frankfurt colombo time comfortable service good
971,flight back colombo london delayed arrangements made rush us connecting flights canada heathrow able make connections
972,cabin service excellent entertainment service flight back much better flight colombo
973,used flight ul 503 colombo london 12th september 2012 delayed approximately 90 minutes service provided cabin crew one worst experienced used airline much better service
974,management something becomes late customers may choose one airlines fly london colombo
975,inflight service excellent choice 3 hot meals economy class queue 60 minutes checkin
976,airline impressive cabin staff efficient ground staff never need check 20 minutes flight even tokyo
977,excellent service staff either airport plane flights time way holguin back montreal food decent free complaint plane way holguin old seats bad
978,departure flight delayed 4 hours moncton 1 hour varadero
979,crew apologetic food decent movie
980,went bahamas easter weekend family flight delayed 2 hours spent 5 hours airport
981,way back bahamas flight delayed 2 hours got spend another 5 hours airport
982,dont think acceptable understand delayed people twice acceptable
983,✅ trip verified zurich sao paulo great experience
984,friendly check fantastic lounge swiss first class lounge zurich one best experienced great food great service great design
985,flight treat super friendly staff excellent food wine great sleep thanks comfortable seats beds arrival fast efficient sao paulo
986,wish every flight good one unfortunately flights much less impressive swiss
987,even though plane small 242 seat configuration cabin seats fairly spacious
988,inflight system somewhat average recent movies also games decent quality however cabin crew service exceeded expectation one never expects get ice cream economy class
989,thing lacking onboard wifi commonly available airlines days
990,recommend airline long haul flights
991,gvalhr vv flight geneva london delayed 1 hour due bad weather london
992,flight ok got small sandwich beverages swiss chocolate
993,flights back use avro rj100 cabin pretty noisy compared a320 however comfortable flight plenty leg room economy class
994,zurichsingapore flight extremely poor
995,recently done leg opposite direction expecting much far comfort food service went ife 8 hours flight aircon hour flight horrible seat positioning 3 seats placed directly behind 4 seats lean neighbours lap watch ife eventually came made disappointing uncomfortable flight
996,limeze giglim airbus a320 excellent inbound flew business good food nice leather seats spotless aircraft way back lima economy good food helpful crew
997,flights time
998,flew tam airlines são paulo guarulhos frankfurt boeing 77300er must say torture seats tight
999,tam uses 3x4x3 layout leaves tight aircraft seats bad recline
1000,service also poor little food
1001,✅ verified review trip tap portugal brasilia lisbon worst longhaul flight ever experienced
1002,cabin crew rude unsmiling inflight entertainment poor cabin dated equipped narrow seats meals horrible served dirty folding tray
1003,horrible 9hour flight
1004,pleasant flight gatwick porto tap portugal a319
1005,flight 15 minutes late arrival due strong head winds
1006,crew took good care us
1007,check quick lounge gatwick quit relax flying
1008,tap manchester uk funchal via lisbon sunday 1st june delayed 2 hours lisbon couldnt find crew
1009,seating legs tight inflight service virtually non existent poor dry sandwich half glass wine given begrudgingly
1010,return flight lisbon manchester delayed today 8th june told least 2 hours information given explanation shrug
1012,lisbon madeira funchal old aircraft looks style chunk bulk old leather seats service board due cabin staff strike
1013,flight portugal brazil seat working entertainment system came run items except lasagne
1014,staff rude interest solving problems
1015,bucharest barcelona flight time meals okay
1017,also flight staff quite bad steward dropped coffee pleasant
1019,airplane quite good shape flight acceptable nonlowcost flight otp bcn
1020,fly business pay little ba economy get genuine 22 seating service uniformly excellent front
1021,ba business highly variable ive really excellent flights real 1980s style shockers
1022,✅ verified review flew singapore bangkok thai airways quite expensive ticket even though short 2 hour flight
1023,service onboard ground excellent food delicious aircraft clean seats comfortable ife responsive definitely fly thai airways future
1024,melbourne bangkok good flight thai airways
1025,easy check boarding flight probably 60 full
1026,excellent staff food good thai airways boeing 777s still 333 seat layout better carriers
1027,good legroom flight number people commented
1028,777300 thai uses 4 hour flight bali bangkok 232 configuration business class angled lieflat seats excellent route
1029,ife somewhat outdated doesnt huge selection movies personally im watching movies shorter regional flights
1030,service food acceptable outstanding
1031,first long haul flight thomas cook
1032,good seat good legroom nice food good price
1033,departure ways time
1034,flew last week gran canaria flight bit late leaving plane packed
1035,flight back late paid seats son found passengers seats crew seated us seats
1036,really disorganised contacted thomas cook said sat booked seats although way knowing non crew knew names even sitting
1037,flew arnayt back thomas cook scandinavia airlines a330 hard seats flight entertainment poor movie ceiling screens
1038,however liked food staff service really nice friendly
1039,manchester lanzarote departed 45mins late fight diverted fuerteventura two engineers aircraft spare parts fix broken plane fuerteventura
1040,arrived lanzarote 2 hrs late
1041,return flight lanzarote manchester also delayed 4hrs told operational problems
1042,flew thomas cook dalaman 21st september 5 hour delay going 3 hour delay coming home late flights obviously lost 2 nights sleep weeks holiday seating tight cabin impressed spent lot money years feel company letting name standards slip
1043,traveled edinburgh lanzarote seat excellent lots legroom b737 fly thomson
1044,flew home zante yesterday 16th september impressed new b737800 aircraft also nice crew looked us well
1045,outward return flights right time
1046,great flying experience definitely use
1047,lgw kefalonia outbound 255 inbound 86 flights cramped complete young unhappy children tg 3 hours cabin staff try hard make sale meals snacks included flight comfortable flights glad get
1048,flew punta cana back dreamliner good seat pitch although seats bit narrow
1049,thomson ryanair long haul apart one small water one coffee meal drinks purchased including water free long flight
1050,however entertainment good staff pleasant efficient trips meal going terrible passable return
1051,flew jamaica 9th jan 2014 upgraded premium class receive premium service
1052,board passengers drinks flight back 1 hour
1053,brochure shown dreamliner new 767 flew oldest uncomfortable plane ever
1054,went thailand new dreamliner thoroughly disappointed food awful cabin crew disinterested eye contact window seat nightmare
1055,would rather travel air asia change bangkok service excellent
1056,uncomfortable dirty aircraft
1057,food drink delayed compensation due hiding behind exceptional circumstances
1058,bristol malaga return 7th july 14th july outbound flight excellent extra legroom seats plenty space cabin crew attentive helpful flight arrived 20 minutes early
1059,return journey extra legroom seats time cabin crew couldnt bothered greet us upon entering everything seemed much trouble food drink reasonably priced knew entertainment took ipad captain informative let rude cabin crew something easily rectified
1060,first flight thompson airways delayed almost 5 hours communication compensation 3 year old contend
1061,incurred costs meals drinks taxi fare previously budgeted
1062,airport side terrible onboard better advised vouchers board due late take limited food options long wait
1063,overall experience outbound awful
1064,inbound better though food options restricted due bad planning
1065,cancelled melbournebrisbane flight less 24 hrs inevitably meaning paid twice much compared airlines due requiring last minute ticket
1066,2 colleagues also flights cancelled different routes given similar operational reason without explanation
1067,good flight marrakech amsterdam transavia
1068,flight time good plane
1069,flight attendants helpful nice
1070,leg space quite decent seats comfortable
1071,old aircraft seats narrow uncomfortable however called premium class look much different
1072,food average strange tasting served unsuitable packaging
1073,however cabin staff extremely positive friendly helpful
1074,bad flight miami tel aviv via istanbul turkish airlines
1075,passengers quiet calm crew professional nice
1077,food ok
1078,flights time 20 min delay runway arrived ist hour early
1079,thing didnt like seat stiff hard
1080,turkish good prices get miles united part star alliance
1081,turkish airlines istanbul london heathrow new plane well maintained clean nice
1082,even short flight food great ife system new great selection
1083,flight delayed 1hr weakness turkish airlines home base airport istanbul ataturk total mess
1084,overall good flight would recommend turkish airlines short flights rather long haul
1085,recent trip istanbul first trip turkish airlines easy see got voted best airline helpful service received checkin flight flight staff excellent food drink provided genuine smiles quite first experienced flight staff
1086,tk 1956 amsist old aircraft called business class outdated uncomfortable joke zero comfort
1087,tk 0673 istmba 757 single aisle aircraft suitable long haul flights cclass seats compared airlines like kq kl frequently use route poor standard lacking comfort
1088,service run mill food mediocre run choice selection 25ml bottled wine poor
1089,flight 760 istanbul dubai great aircraft lot seats free
1090,crew excellent kind food great
