,cluster
3003,15
3004,10
3005,0
3006,0
3007,7
3008,0
3009,4
3010,10
3011,10
3012,4
3013,3
3014,6
3015,6
3016,6
3018,8
3020,9
3021,15
3022,6
3023,0
3024,6
3025,5
3026,10
3027,8
3028,8
3029,9
3030,10
3031,0
3032,7
3033,15
3034,9
3035,6
3036,8
3038,14
3039,8
3040,4
3041,10
3042,9
3043,10
3044,9
3045,8
3046,7
3047,10
3048,3
3049,10
3050,3
3051,7
3052,0
3053,10
3054,10
3055,9
3056,6
3057,9
3058,15
3059,7
3060,12
3061,6
3062,10
3063,8
3064,3
3065,7
3066,10
3070,10
3071,10
3072,7
3073,10
3074,0
3075,10
3076,8
3077,1
3078,5
3079,9
3080,10
3081,10
3082,10
3083,15
3084,10
3085,0
3086,15
3087,10
3088,10
3089,0
3090,0
3091,10
3092,4
3094,10
3095,5
3096,10
3097,10
3098,10
3099,4
3100,8
3101,9
3102,2
3103,14
3104,11
3105,10
3106,15
3107,15
3108,3
3109,9
3110,10
3111,8
3112,0
3113,8
3114,10
3115,10
3116,3
3117,3
3118,10
3119,15
3120,9
3121,0
3122,10
3123,0
3124,9
3125,9
3126,10
3127,3
3128,9
3129,0
3130,2
3131,8
3132,5
3133,8
3134,0
3135,0
3136,9
3137,10
3138,10
3139,11
3140,10
3141,9
3142,9
3143,10
3144,3
3145,6
3146,5
3147,11
3148,3
3149,9
3150,9
3151,15
3152,10
3153,10
3154,10
3155,9
3156,15
3157,16
3158,9
3159,0
3160,8
3161,9
3162,10
3163,10
3164,0
3165,12
3166,10
3167,15
3168,10
3169,3
3170,10
3171,9
3172,10
3173,12
3174,10
3175,16
3176,14
3177,10
3178,7
3179,12
3180,16
3182,8
3183,10
3184,8
3185,15
3186,15
3187,0
3188,15
3189,9
3190,10
3191,3
3192,15
3193,10
3194,10
3195,10
3196,10
3197,14
3198,0
3199,10
3200,9
3201,4
3202,4
3203,10
3204,15
3205,10
3206,4
3207,10
3208,13
3209,0
3210,8
3211,10
3212,7
3213,10
3214,13
3215,8
3216,6
3217,10
3218,10
3219,10
3220,10
3221,10
3222,10
3223,9
3224,14
3225,10
3226,10
3227,8
3228,3
3229,0
3230,10
3231,10
3232,8
3233,0
3234,9
3235,8
3236,3
3237,10
3238,10
3239,8
3240,10
3241,9
3242,10
3243,10
3244,9
3245,10
3246,15
3247,10
3248,8
3250,9
3251,15
3252,0
3253,3
3255,8
3256,8
3257,8
3258,9
3259,10
3260,10
3261,9
3262,10
3263,10
3264,10
3265,15
3266,10
3267,8
3268,0
3269,9
3270,0
3271,10
3272,6
3273,10
3274,10
3275,0
3276,8
3277,9
3278,10
3279,4
3280,10
3281,10
3282,10
3283,9
3284,9
3285,8
3286,10
3287,15
3288,7
3289,3
3290,9
3291,0
3292,10
3293,9
3294,14
3295,0
3296,0
3297,6
3298,5
3299,3
3300,5
3301,7
3302,6
3303,15
3304,1
3305,7
3306,3
3307,8
3308,10
3309,9
3310,10
3311,3
3312,6
3313,0
3314,12
3315,3
3316,5
3317,11
3318,15
3319,0
3320,9
3321,10
3322,15
3323,9
3324,10
3325,10
3326,10
3327,10
3328,2
3329,15
3330,10
3331,12
3332,10
3333,8
3334,1
3335,6
3336,13
3337,12
3338,5
3339,5
3340,5
3341,10
3342,7
3343,8
3344,9
3345,15
3346,3
3347,10
3348,7
3349,9
3350,10
3351,9
3352,10
3353,6
3354,9
3355,8
3356,10
3357,10
3358,10
3359,10
3360,0
3361,0
3362,10
3363,0
3364,3
3365,9
3366,0
3367,9
3368,10
3369,0
3370,9
3372,0
3373,6
3374,6
3375,10
3376,10
3377,10
3378,15
3379,4
3380,9
3381,10
3382,16
3383,3
3384,9
3385,3
3386,10
3387,0
3388,10
3389,5
3390,9
3391,8
3392,13
3393,6
3394,12
3395,0
3396,6
3397,6
3398,0
3399,9
3400,0
3402,10
3403,3
3404,13
3405,7
3406,15
3407,6
3408,7
3409,3
3410,10
3411,9
3412,7
3413,7
3414,10
3415,10
3416,0
3417,9
3418,10
3419,6
3420,9
3421,10
3422,5
3423,12
3424,8
3425,12
3426,6
3427,10
3428,11
3429,14
3430,9
3431,0
3432,6
3433,14
3434,7
3435,3
3436,9
3437,15
3438,6
3439,10
3440,10
3441,9
3442,0
3443,5
3444,3
3445,6
3446,8
3447,7
3448,5
3449,8
3450,3
3451,12
3452,4
3453,3
3454,4
3455,14
3456,4
3457,10
3458,7
3459,7
3460,3
3461,10
3462,15
3463,7
3464,9
3465,6
3466,9
3467,15
3468,5
3469,8
3471,1
3472,15
3473,15
3474,12
3475,6
3476,8
3477,4
3478,10
3479,12
3480,0
3481,8
3482,14
3483,8
3484,8
3485,7
3486,3
3487,15
3488,15
3489,8
3490,3
3491,8
3492,15
3493,1
3494,4
3495,9
3496,10
3497,15
3498,10
3499,8
3500,3
3501,0
3502,10
3503,10
3504,6
3505,8
3506,7
3507,4
3508,9
3509,3
3510,10
3511,0
3512,11
3513,10
3514,9
3515,10
3516,8
3517,0
3518,6
3519,4
3520,12
3521,6
3522,8
3523,6
3524,7
3525,10
3526,10
3527,3
3528,0
3529,13
3530,10
3531,3
3532,6
3533,8
3534,6
3535,4
3536,15
3537,10
3538,14
3539,0
3540,10
3541,15
3542,3
3543,6
3544,10
3545,7
3546,14
3547,15
3548,9
3549,13
3550,13
3551,7
3552,15
3553,10
3554,0
3555,4
3556,4
3557,3
3558,10
3559,15
3560,13
3561,10
3562,8
3563,13
3564,3
3565,10
3566,7
3567,6
3568,6
3569,8
3571,9
3572,3
3573,7
3574,6
3575,16
3576,1
3577,10
3578,6
3579,0
3580,5
3581,5
3582,0
3584,11
3585,13
3586,13
3587,7
3588,13
3589,4
3590,8
3591,3
3592,10
3593,10
3594,4
3595,8
3596,9
3597,6
3602,15
3603,9
3604,6
3605,6
3606,10
3608,8
3609,8
3610,4
3611,8
3612,8
3613,0
3614,4
3615,12
3616,10
3617,0
3619,4
3620,4
3621,4
3622,4
3623,4
3624,3
3625,4
3626,9
3627,4
3628,0
3629,4
3630,4
3631,16
3632,9
3633,4
3634,13
3635,16
3636,4
3637,13
3638,8
3639,3
3640,9
3641,8
3643,0
3644,10
3645,10
3646,4
3647,7
3648,13
3649,13
3650,10
3651,10
3652,12
3653,0
3654,11
3655,5
3656,13
3657,10
3658,4
3659,7
3660,10
3661,0
3662,3
3663,4
3664,8
3665,4
3666,8
3667,10
3668,10
3669,10
3670,4
3671,10
3672,1
3673,3
3674,15
3675,12
3676,4
3677,9
3678,12
3679,13
3680,8
3681,14
3682,8
3683,6
3684,10
3685,10
3686,10
3687,15
3688,4
3689,7
3690,10
3691,0
3692,15
3693,6
3694,10
3695,4
3696,7
3697,9
3698,3
3699,4
3700,10
3701,12
3702,1
3703,7
3704,0
3705,6
3706,7
3707,7
3708,8
3709,13
3710,5
3711,12
3712,8
3713,6
3714,8
3715,11
3716,7
3717,10
3718,12
3719,8
3720,15
3721,10
3722,15
3723,4
3724,8
3725,8
3726,12
3727,12
3728,4
3729,7
3732,6
3733,15
3734,3
3735,6
3736,6
3737,10
3739,7
3740,10
3741,15
3742,15
3743,0
3744,12
3745,6
3746,7
3747,13
3748,2
3749,3
3750,7
3751,9
3752,15
3753,12
3755,4
3756,4
3757,3
3758,15
3759,6
3760,4
3762,4
3763,9
3764,6
3765,1
3766,0
3768,10
3769,0
3770,10
3771,10
3772,6
3773,3
3774,12
3775,6
3776,8
3777,5
3778,14
3779,5
3780,10
3781,0
3782,6
3783,3
3784,5
3785,11
3786,15
3787,13
3788,7
3789,5
3790,3
3791,10
3793,13
3794,12
3795,10
3796,5
3797,12
3798,4
3799,12
3800,10
3801,0
3802,6
3803,2
3804,7
3805,13
3806,13
3807,9
3809,9
3810,10
3811,6
3812,1
3813,9
3814,7
3815,8
3816,10
3817,7
3818,4
3819,16
3820,9
3821,11
3822,12
3823,15
3824,9
3825,12
3826,10
3827,4
3828,1
3829,15
3830,12
3831,9
3832,15
3833,4
3834,2
3835,9
3836,12
3837,1
3838,15
3839,4
3840,4
3841,15
3842,10
3843,13
3844,7
3845,3
3846,13
3847,9
3848,3
3849,6
3850,0
3851,4
3852,9
3854,2
3855,15
3856,15
3857,3
3858,10
3859,10
3860,9
3861,0
3862,12
3863,6
3864,9
3865,15
3866,11
3867,8
3868,10
3869,9
3870,9
3871,14
3872,15
3873,0
3874,13
3875,2
3876,9
3877,0
3878,1
3879,6
3880,4
3881,3
3882,5
3883,1
3884,13
3885,0
3886,11
3887,0
3888,0
3889,13
3890,14
3891,12
3892,11
3893,2
3894,0
3895,13
3896,9
3897,4
3898,0
3899,2
3900,0
3901,0
3902,8
3903,16
3904,5
3905,6
3906,7
3907,11
3908,1
3909,13
3910,16
3911,1
3912,8
3913,8
3914,4
3915,4
3916,1
3917,5
3918,6
3919,1
3920,4
3921,14
3922,13
3923,13
3924,0
3925,14
3927,1
3928,1
3929,0
3930,2
3931,12
3932,2
3933,2
3934,3
3936,6
3937,0
3938,13
3939,15
3940,13
3941,2
3942,1
3943,0
3944,0
3945,16
3946,11
3947,2
3948,1
3949,4
3950,1
3951,8
3952,7
3953,2
3954,13
3955,12
3956,1
3957,11
3958,11
3959,4
3960,15
3963,2
3964,2
3965,1
3966,0
3967,2
3968,1
3969,7
3970,0
3971,0
3972,15
3973,3
3974,4
3975,13
3976,2
3977,2
3979,13
3980,4
3981,8
3982,0
3983,2
3984,12
3985,16
3986,13
3987,13
3988,2
3989,2
3990,10
3991,2
3992,0
3993,0
3994,16
3995,15
3996,3
3997,14
3998,2
3999,7
4000,7
4001,2
4002,4
4003,2
4004,13
4005,16
4006,1
4007,1
4008,5
4009,1
4010,1
4011,8
4012,15
4013,6
4014,2
4015,2
4016,0
4017,4
4018,5
4019,3
4020,11
4021,7
4022,6
4023,10
4024,4
4026,7
4027,4
4028,2
4029,6
4030,5
4031,9
4032,2
4033,2
4034,11
4035,15
4036,4
4037,4
4038,13
4039,4
4040,5
4041,11
4042,1
4044,13
4045,16
4046,4
4047,1
4048,0
4050,15
4051,6
4052,11
4053,14
4054,13
4055,16
4056,11
4057,2
4058,0
4059,8
4060,13
4061,4
4062,6
4063,5
4064,0
4065,16
4066,14
4067,2
4068,5
4069,12
4070,4
4071,13
4072,10
4073,12
4074,0
4075,15
4076,2
4077,11
4078,7
4079,0
4080,11
4081,6
4082,2
4083,0
4084,2
4085,4
4086,3
4087,3
4088,13
4089,15
4090,0
4091,2
4092,6
4093,6
4094,2
4095,2
4096,0
4098,1
4099,9
4100,0
4101,2
4102,7
4103,15
4104,0
4105,13
4106,16
4107,15
4108,2
4109,4
4110,0
4111,13
4112,5
4113,12
4114,8
4115,2
4116,12
4117,4
4118,15
4119,4
4120,15
4121,6
4122,6
4123,5
4126,13
4127,11
4129,13
4130,15
4131,6
4132,5
4133,13
4134,6
4135,3
4136,2
4137,4
4138,0
4139,8
4140,11
4141,7
4142,15
4143,13
4144,14
4145,1
4146,4
4147,7
4148,11
4149,11
4150,1
4151,8
4152,13
4153,13
4154,0
4155,4
4156,12
4157,0
4158,15
4159,6
4160,2
4161,0
4162,4
4164,1
4165,12
4166,0
4167,0
4168,3
4169,0
4170,1
4171,1
4172,15
4173,5
4174,15
4175,2
4176,7
4177,6
4178,5
4179,11
4180,6
4181,10
4183,15
4184,6
4185,2
4186,2
4187,5
4188,0
4189,11
4190,2
4191,9
4192,1
4193,0
4194,0
4195,10
4196,1
4197,11
4198,7
4199,3
4200,9
4202,2
4203,7
4204,11
4205,2
4206,2
4207,5
4208,1
4209,16
4210,4
4211,8
4212,4
4213,8
4214,15
4215,5
4217,2
4218,0
4219,8
4220,2
4221,2
4222,7
4223,1
4224,0
4225,15
4226,1
4227,2
4228,1
4229,5
4231,1
4232,16
4233,2
4234,3
4235,10
4236,11
4237,8
4238,13
4240,2
4241,7
4242,0
4244,13
4245,16
4247,6
4248,4
4249,13
4250,4
4251,0
4252,5
4253,15
4254,1
4255,7
4256,2
4257,5
4258,3
4259,15
4260,2
4261,2
4262,2
4263,4
4264,16
4265,11
4266,1
4267,2
4268,12
4269,13
4270,7
4271,11
4272,4
4273,10
4274,13
4275,13
4276,8
4277,14
4278,12
4279,16
4280,2
4281,2
4282,0
4284,16
4285,16
4286,2
4287,3
4288,16
4289,11
4290,2
4291,2
4293,1
4294,1
4295,4
4296,4
4297,11
4298,4
4299,7
4300,2
4301,9
4302,13
4303,5
4304,1
4305,2
4306,2
4307,5
4308,3
4309,2
4310,2
4311,13
4312,13
4313,4
4314,13
4315,16
4316,6
4317,14
4318,4
4319,0
4320,13
4321,14
4322,13
4323,6
4324,0
4325,15
4326,8
4327,15
4328,4
4329,6
4331,2
4332,4
4335,4
4336,16
4337,14
4338,12
4339,1
4340,15
4341,0
4342,0
4343,4
4344,15
4345,14
4347,2
4348,11
4349,4
4350,2
4351,12
4352,6
4353,4
4354,12
4355,12
4356,6
4357,14
4358,8
4359,10
4360,0
4361,4
4362,7
4363,3
4364,12
4365,15
4366,10
4367,6
4368,12
4369,2
4370,12
4371,15
4372,10
4373,7
4374,4
4376,12
4377,3
4378,13
4379,5
4380,5
4381,6
4382,14
4384,5
4385,11
4386,11
4388,3
4389,2
4390,8
4391,13
4392,3
4393,1
4394,7
4395,13
4396,13
4397,0
4398,11
4399,3
4400,4
4401,4
4402,12
4403,3
4404,0
4405,15
4406,10
4407,4
4408,1
4409,16
4410,4
4411,14
4412,0
4413,9
4414,7
4415,1
4416,10
4417,2
4418,2
4419,1
4420,16
4421,0
4422,11
4423,0
4424,5
4426,13
4427,11
4428,5
4430,2
4431,12
4432,2
4433,13
4435,0
4436,12
4437,13
4438,12
4439,10
4440,4
4441,4
4442,5
4443,4
4444,2
4445,1
4446,0
4448,15
4450,11
4451,6
4452,5
4453,12
4454,10
4455,13
4456,10
4457,13
4458,5
4459,2
4460,6
4461,3
4462,1
4463,4
4464,0
4465,12
4466,13
4467,14
4468,5
4469,7
4470,2
4471,7
4472,2
4473,15
4474,0
4475,2
4476,12
4477,15
4478,8
4479,13
4480,1
4481,0
4482,7
4483,9
4484,2
4485,1
4486,7
4487,6
4488,4
4489,5
4490,5
4491,4
4492,4
4493,0
4494,8
4495,3
4496,13
4497,0
4498,6
4499,13
4500,11
4501,13
4502,16
4503,2
4504,6
4505,6
4506,11
4507,2
4508,16
4509,4
4510,8
4511,6
4512,13
4513,16
4514,0
4515,2
4516,13
4517,5
4518,13
4519,14
4520,2
4521,0
4522,6
4523,6
4524,6
4525,0
4526,1
4527,2
4529,2
4530,14
4531,8
4532,2
4533,2
4534,14
4535,14
4536,10
4537,0
4538,1
4539,0
4540,7
4541,0
4542,15
4543,0
4544,11
4545,6
4546,13
4547,4
4548,13
4549,2
4551,15
4552,13
4553,4
4554,4
4555,11
4556,2
4557,2
4558,6
4559,6
4562,12
4563,6
4564,6
4565,14
4566,12
4567,10
4568,13
4569,11
4570,15
4571,3
4572,10
4573,12
4574,2
4575,13
4576,2
4577,2
4579,10
4580,13
4581,11
4582,2
4583,3
4584,16
4585,13
4586,3
4587,10
4588,6
4589,8
4590,13
4591,15
4592,15
4593,2
4594,4
4595,8
4596,9
4597,10
4598,4
4600,11
4601,9
4602,0
4603,1
4604,4
4605,5
4606,8
4607,0
4608,2
4609,1
4610,9
4611,13
4612,15
4613,6
4614,2
4615,6
4616,14
4617,9
4618,12
4619,5
4620,6
4621,13
4622,7
4623,15
4624,9
4626,0
4627,2
4628,4
4629,12
4630,0
4631,12
4632,2
4633,16
4634,11
4635,0
4636,5
4637,2
4638,1
4639,1
4640,0
4641,4
4642,0
4643,1
4644,0
4645,8
4646,5
4647,6
4648,4
4649,13
4650,9
4651,6
4652,13
4653,4
4654,0
4656,12
4657,1
4658,5
4659,2
4660,1
4661,4
4662,1
4663,4
4664,3
4665,0
4666,10
4667,13
4668,0
4669,13
4670,2
4671,1
4672,0
4673,1
4674,1
4675,16
4676,11
4677,2
4678,11
4679,4
4680,0
4681,11
4682,11
4684,16
4685,15
4686,2
4687,2
4688,1
4689,0
4691,2
4692,7
4693,6
4694,1
4695,6
4696,2
4698,16
4699,13
4700,0
4701,6
4702,10
4703,13
4706,13
4707,4
4708,12
4709,0
4710,5
4712,11
4713,6
4714,11
4715,0
4716,2
4717,1
4718,16
4719,8
4720,1
4721,16
4722,5
4723,0
4724,4
4725,0
4726,16
4727,13
4728,5
4729,13
4730,13
4731,11
4732,9
4734,12
4735,14
4736,1
4737,1
4739,13
4740,1
4741,16
4742,15
4743,14
4744,4
4745,8
4746,2
4748,12
4749,8
4750,0
4751,5
4752,1
4753,4
4754,13
4755,15
4756,2
4757,6
4758,8
4759,4
4760,8
4761,4
4763,12
4764,1
4765,12
4766,0
4767,1
4768,16
4769,6
4770,1
4771,6
4772,0
4773,12
4774,0
4775,1
4776,8
4780,0
4781,9
4782,5
4783,14
4784,15
4785,6
4786,14
4787,0
4788,4
4789,11
4790,16
4791,5
4792,13
4793,1
4794,0
4795,16
4796,16
4797,5
4798,1
4799,16
4800,2
4801,2
4802,2
4803,13
4804,8
4806,10
4807,6
4808,5
4809,12
4810,6
4811,5
4812,6
4813,7
4814,7
4815,6
4817,9
4819,4
4820,16
4821,13
4822,12
4823,3
4824,6
4825,0
4826,14
4827,2
4828,9
4829,2
4830,2
4831,4
4832,15
4833,5
4835,16
4836,16
4837,2
4838,16
4839,11
4842,6
4843,2
4844,11
4845,11
4846,0
4847,11
4848,0
4849,9
4851,11
4852,12
4853,16
4854,7
4855,5
4856,5
4858,11
4859,2
4860,9
4861,10
4862,0
4863,6
4864,2
4865,15
4866,5
4867,16
4868,16
4869,9
4870,2
4871,5
4872,0
4873,16
4874,10
4875,13
4876,8
4877,8
4878,2
4879,4
4880,0
4882,1
4883,4
4885,2
4886,11
4887,6
4888,5
4889,3
4890,4
4891,0
4892,16
4893,8
4894,16
4895,0
4896,8
4898,1
4899,4
4900,11
4901,14
4902,5
4903,0
4904,5
4905,6
4906,11
4907,2
4908,5
4909,14
4910,10
4911,12
4912,13
4913,4
4914,3
4915,0
4916,16
4917,0
4918,13
4919,6
4920,6
4921,0
4922,0
4923,4
4925,0
4926,13
4927,5
4928,13
4929,0
4930,4
4931,11
4932,15
4933,0
4934,1
4935,14
4936,16
4937,0
4938,1
4939,7
4940,14
4941,14
4942,0
4943,13
4944,4
4945,1
4946,5
4947,2
4948,8
4949,5
4951,5
4952,1
4953,11
4954,2
4955,8
4956,5
4957,2
4958,13
4959,11
4961,8
4962,5
4963,13
4964,9
4965,5
4967,16
4968,6
4969,14
4970,0
4971,0
4972,8
4973,6
4974,2
4975,0
4976,2
4977,11
4978,11
4979,9
4980,5
4981,15
4983,15
4984,13
4986,13
4987,12
4988,2
4989,0
4990,6
4991,13
4992,15
4995,1
4996,0
4997,2
4998,16
4999,1
5000,10
5001,2
5002,2
5003,0
5004,9
5006,2
5008,11
5009,12
5010,16
5011,16
5012,2
5013,0
5014,13
5015,3
5016,0
5017,11
5018,5
5019,9
5020,7
5022,2
5023,2
5024,10
5026,13
5027,7
5028,13
5029,5
5030,6
5031,0
5032,1
5033,2
5034,13
5035,0
5036,3
5037,10
5038,0
5039,4
5040,13
5041,9
5042,16
5043,5
5044,12
5045,13
5046,11
5047,0
5048,12
5049,3
5050,3
5051,7
5052,5
5053,12
5054,0
5055,6
5056,0
5057,2
5058,12
5059,0
5060,0
5062,2
5063,6
5065,0
5066,0
5067,4
5068,2
5070,16
5071,11
5072,0
5073,2
5074,15
5076,1
5077,2
5078,14
5079,16
5080,2
5081,11
5082,4
5083,7
5084,1
5085,11
5086,2
5087,0
5088,6
5089,0
5090,11
5092,15
5093,12
5094,4
5095,1
5096,4
5097,1
5099,11
5100,5
5101,14
5102,16
5103,2
5104,2
5106,3
5107,0
5108,0
5109,0
5110,13
5111,1
5112,13
5113,10
5114,13
5115,13
5117,2
5118,2
5119,11
5120,9
5121,4
5122,10
5123,2
5124,3
5125,3
5126,0
5127,4
5128,2
5129,13
5130,6
5131,0
5132,1
5133,1
5134,1
5135,16
5136,1
5137,4
5138,14
5139,5
5140,12
5141,12
5142,6
5143,8
5144,3
5145,6
5146,6
5147,6
5148,0
5149,12
5150,6
5151,15
5152,14
5153,3
5154,4
5155,15
5156,4
5157,1
5158,6
5159,13
5160,4
5161,13
5162,0
5163,0
5164,10
5165,16
5166,14
5167,2
5169,12
5170,15
5171,13
5172,15
5173,5
5174,11
5175,4
5176,4
5177,2
5178,5
5179,2
5180,2
5181,3
5182,4
5183,16
5184,13
5186,12
5187,3
5190,4
5191,14
5192,9
5193,4
5194,15
5195,12
5197,11
5198,13
5199,15
5201,13
5202,2
5203,12
5204,8
5205,13
5206,13
5207,2
5208,5
5209,16
5210,16
5211,0
5213,11
5214,4
5215,4
5217,1
5218,1
5219,14
5220,12
5221,16
5222,11
5223,13
5226,1
5227,11
5228,13
5229,6
5230,13
5231,12
5232,6
5233,13
5234,13
5235,13
5236,16
5237,0
5238,8
5239,10
5240,2
5241,12
5242,14
5243,10
5244,1
5245,13
5246,4
5247,2
5248,2
5249,13
5250,10
5251,5
5252,13
5253,1
5254,5
5255,7
5256,6
5258,8
5259,2
5260,1
5261,7
5262,11
5263,6
5264,13
5265,9
5266,4
5267,2
5268,3
5269,0
5270,10
5271,0
5272,4
5273,15
5274,4
5275,14
5277,11
5278,13
5279,2
5280,13
5282,13
5284,11
5285,15
5286,0
5287,13
5288,13
5289,12
5290,4
5291,10
5292,0
5294,1
5296,2
5297,0
5298,16
5299,8
5300,2
5301,1
5302,0
5303,2
5304,5
5305,1
5306,10
5308,9
5309,2
5310,6
5311,2
5312,6
5313,2
5314,2
5315,16
5316,7
5317,11
5318,0
5319,11
5320,7
5321,13
5322,13
5323,5
5324,12
5325,2
5326,3
5327,12
5328,2
5329,13
5330,4
5331,5
5332,5
5333,12
5334,9
5335,3
5336,15
5337,1
5338,10
5339,6
5340,4
5342,14
5343,1
5344,0
5345,13
5346,2
5348,0
5349,2
5351,13
5352,2
5353,4
5354,2
5355,2
5356,10
5357,16
5358,5
5359,16
5360,1
5361,2
5362,7
5363,6
5364,0
5365,0
5366,16
5367,14
5368,15
5369,8
5370,11
5371,11
5372,11
5373,11
5374,3
5375,12
5376,4
5377,11
5378,16
5379,13
5380,2
5381,5
5382,0
5383,11
5384,2
5385,16
5386,6
5387,3
5388,2
5390,0
5391,14
5392,1
5393,11
5394,6
5395,7
5396,0
5397,0
5398,0
5399,0
5400,6
5404,16
5405,3
5406,1
5407,2
5408,11
5409,1
5410,5
5411,7
5412,9
5413,1
5414,5
5415,2
5416,16
5417,2
5418,16
5419,1
5420,0
5421,13
5423,12
5425,13
5426,15
5427,6
5428,9
5430,0
5431,14
5432,0
5433,0
5434,4
5435,6
5436,2
5437,4
5438,0
5439,10
5440,1
5441,3
5442,4
5443,10
5444,0
5445,0
5446,9
5447,6
5448,1
5449,0
5450,11
5451,8
5452,4
5453,5
5454,4
5455,5
5456,5
5457,5
5458,2
5460,13
5461,3
5462,5
5463,4
5464,4
5465,1
5466,11
5467,4
5468,16
5469,1
5470,15
5471,4
5472,3
5473,4
5474,4
5475,1
5476,16
5477,10
5478,1
5479,5
5480,13
5481,2
5482,1
5483,10
5484,15
5485,15
5487,5
5488,15
5489,11
5490,12
5491,0
5492,12
5493,5
5494,9
5495,2
5496,0
5497,10
5498,1
5499,10
5500,13
5501,16
5502,6
5503,12
5505,0
5506,0
5507,1
5508,1
5509,2
5511,11
5512,0
5513,2
5514,14
5515,13
5516,10
5517,6
5518,5
5519,5
5520,7
5521,5
5522,4
5523,3
5524,2
5525,2
5526,2
5527,4
5528,16
5529,1
5531,0
5532,4
5533,9
5534,4
5535,2
5536,4
5537,4
5538,0
5539,12
5541,2
5542,2
5545,0
5546,11
5547,0
5548,13
5549,4
5550,4
5551,6
5552,4
5553,13
5554,5
5555,10
5556,3
5557,13
5558,13
5559,12
5560,4
5561,4
5562,3
5564,0
5566,11
5567,15
5568,5
5569,13
5570,13
5571,2
5572,15
5573,15
5574,7
5575,9
5576,4
5577,13
5578,4
5579,0
5580,15
5581,2
5582,4
5583,2
5584,13
5585,11
5586,7
5587,13
5590,6
5591,2
5593,6
5594,5
5595,14
5596,8
5597,13
5598,0
5599,8
5600,2
5601,10
5602,0
5603,0
5605,13
5606,12
5607,1
5608,9
5609,6
5610,16
5611,1
5612,7
5613,12
5614,11
5615,8
5617,5
5618,16
5619,11
5620,1
5621,12
5622,2
5623,2
5624,0
5625,10
5626,11
5627,4
5628,9
5629,10
5630,1
5631,14
5632,0
5633,14
5634,0
5635,1
5636,16
5637,1
5638,6
5640,16
5641,13
5642,7
5643,2
5644,13
5645,6
5646,2
5647,0
5648,4
5649,0
5650,0
5651,16
5652,11
5653,5
5654,12
5655,11
5656,16
5657,13
5659,8
5660,8
5661,14
5662,11
5664,4
5665,1
5667,12
5668,15
5669,11
5670,15
5671,11
5672,2
5673,13
5674,3
5675,14
5677,1
5678,10
5679,13
5680,8
5681,13
5682,14
5683,13
5684,8
5685,6
5686,11
5687,1
5688,2
5690,9
5691,2
5692,2
5694,2
5695,0
5696,16
5697,14
5698,13
5699,6
5700,13
5701,5
5702,2
5703,13
5704,11
5705,13
5706,7
5707,5
5708,14
5709,11
5710,6
5711,16
5712,1
5713,11
5714,0
5716,1
5717,11
5718,2
5719,6
5720,11
5721,6
5722,0
5723,8
5724,8
5725,6
5726,4
5727,4
5729,6
5730,10
5731,5
5732,1
5733,0
5734,14
5735,5
5736,4
5737,13
5739,9
5740,13
5741,1
5742,14
5743,1
5744,15
5745,4
5746,13
5747,11
5749,13
5750,6
5751,4
5752,2
5753,6
5754,4
5756,16
5757,0
5758,14
5759,5
5760,5
5761,5
5762,13
5763,14
5764,2
5765,1
5766,3
5767,14
5768,9
5769,11
5770,3
5772,10
5773,4
5774,13
5775,12
5776,2
5777,11
5779,6
5780,4
5781,5
5783,2
5784,0
5785,11
5786,16
5787,13
5788,6
5789,14
5790,16
5791,16
5792,0
5793,9
5794,4
5795,0
5797,16
5798,3
5799,2
5800,13
5802,6
5803,9
5804,9
5805,12
5806,10
5807,1
5808,1
5809,6
5810,12
5811,0
5812,9
5813,11
5814,13
5815,16
5816,2
5817,13
5818,4
5820,4
5821,0
5822,11
5823,0
5824,8
5825,0
5826,16
5828,13
5829,1
5830,6
5831,2
5832,14
5834,0
5835,1
5836,5
5837,13
5838,6
5839,0
5840,6
5841,7
5842,9
5843,1
5844,2
5845,2
5846,5
5847,2
5848,2
5850,2
5851,1
5852,10
5853,1
5855,14
5856,5
5857,16
5858,15
5860,6
5861,10
5862,5
5863,5
5864,2
5865,6
5866,0
5867,0
5868,12
5869,10
5870,1
5871,4
5872,0
5873,4
5874,1
5875,4
5876,13
5877,12
5878,8
5879,10
5881,13
5882,5
5883,13
5884,14
5885,13
5886,13
5887,6
5888,4
5889,13
5890,0
5891,7
5892,5
5896,4
5897,2
5898,0
5899,10
5901,11
5902,4
5903,6
5904,13
5905,6
5906,0
5907,5
5908,12
5909,12
5910,3
5911,5
5912,1
5913,4
5914,9
5915,14
5916,12
5919,0
5920,5
5921,1
5922,1
5923,0
5924,14
5926,15
5927,1
5928,12
5930,2
5931,2
5932,2
5933,6
5934,14
5935,6
5937,6
5938,14
5939,1
5941,13
5942,2
5944,6
5945,7
5946,0
5947,12
5948,11
5949,4
5950,13
5951,13
5952,14
5953,8
5954,15
5955,5
5956,5
5957,16
5958,6
5959,0
5960,13
5961,16
5962,6
5963,14
5965,3
5966,0
5967,2
5968,3
5969,13
5971,13
5972,3
5973,13
5974,2
5975,1
5977,0
5978,2
5979,0
5981,2
5982,0
5983,14
5984,15
5985,3
5988,6
5989,13
5991,1
5992,1
5993,4
5994,2
5995,0
5996,11
5999,0
6000,13
6001,1
6002,0
6003,11
6004,0
