,cluster
802,12
803,4
804,13
805,14
806,13
807,8
808,3
809,4
810,4
811,3
812,16
813,7
814,5
815,4
816,6
817,4
818,13
819,3
820,0
821,5
822,12
823,8
824,7
825,14
826,3
827,12
828,12
829,0
830,3
831,10
832,3
833,8
834,3
835,12
836,0
837,12
838,13
839,12
840,10
841,4
842,7
843,7
844,12
845,6
846,1
847,8
848,13
849,15
850,1
851,14
852,4
853,8
854,4
855,12
856,8
857,1
858,2
859,1
860,5
861,16
862,1
863,9
864,8
865,13
866,3
867,5
868,5
869,13
870,13
871,5
872,7
873,16
874,12
875,5
876,9
877,15
878,13
879,10
880,5
881,13
882,13
883,0
884,8
885,2
886,1
887,3
888,3
889,4
890,16
891,8
892,13
893,2
894,13
895,2
896,2
897,13
898,11
899,11
900,6
901,2
902,7
903,3
904,13
905,4
906,6
907,15
908,4
909,8
910,2
911,11
912,14
913,3
914,11
915,4
916,8
917,4
918,13
919,4
920,7
921,13
922,4
923,3
924,5
925,13
926,12
927,2
928,12
929,5
930,15
931,3
932,5
933,13
934,6
935,4
936,7
937,3
938,14
939,14
940,11
941,13
942,6
943,12
944,0
945,14
946,6
947,5
948,12
949,14
950,5
951,13
952,8
953,2
954,15
955,4
956,0
957,16
958,4
959,11
960,11
961,5
962,2
963,16
964,15
965,9
966,1
967,12
968,10
969,3
970,11
971,11
972,6
973,5
974,4
975,7
976,13
977,12
978,2
979,4
980,2
981,16
982,11
983,15
984,7
985,14
986,15
987,6
988,10
989,6
990,14
991,11
992,8
993,8
994,8
995,10
996,3
997,2
998,14
999,11
1000,4
1001,12
1002,4
1003,2
1004,12
1005,5
1006,12
1007,14
1008,2
1009,12
1010,2
1011,0
1012,13
1013,5
1014,13
1015,5
1016,0
1017,12
1018,0
1019,2
1020,7
1021,6
1022,16
1023,15
1024,11
1025,14
1026,11
1027,8
1028,6
1029,3
1030,6
1031,14
1032,8
1033,2
1034,16
1035,11
1036,14
1037,14
1038,13
1039,7
1040,11
1041,2
1042,5
1043,3
1044,12
1045,2
1046,14
1047,5
1048,10
1049,5
1050,4
1051,7
1052,11
1053,15
1054,12
1055,7
1056,3
1057,14
1058,13
1059,1
1060,3
1061,4
1062,5
1063,12
1064,9
1065,16
1066,5
1067,0
1068,15
1069,13
1070,0
1071,10
1072,4
1073,13
1074,1
1075,13
1076,0
1077,4
1078,2
1079,7
1080,1
1081,15
1082,6
1083,1
1084,14
1085,1
1086,13
1087,10
1088,5
1089,12
1090,6
1091,6
1092,2
1093,3
1094,3
1095,5
1096,5
1097,12
1098,13
1099,12
1100,11
1101,14
1102,4
1103,0
1104,4
1105,15
1106,4
1107,13
1108,16
1109,13
1110,6
1111,14
1112,9
1113,8
1114,0
1115,1
1116,12
1117,7
1118,13
1119,1
1120,1
1121,15
1122,15
1123,3
1124,16
1125,8
1126,5
1127,15
1128,5
1129,7
1130,2
1131,16
1132,8
1133,5
1134,4
1135,3
1136,10
1137,8
1138,5
1139,7
1140,8
1141,6
1142,7
1143,10
1144,4
1145,8
1146,8
1147,11
1148,11
1149,13
1150,13
1151,13
1152,11
1153,11
1154,2
1155,10
1156,7
1157,3
1158,15
1159,13
1160,9
1161,10
1162,10
1163,12
1164,1
1165,6
1166,11
1167,4
1168,4
1169,13
1170,5
1171,10
1172,0
1173,11
1174,8
1175,2
1176,2
1177,5
1178,11
1179,5
1180,14
1181,5
1182,11
1183,13
1184,11
1185,11
1186,14
1187,8
1188,4
1189,13
1190,10
1191,12
1192,2
1193,2
1194,0
1195,5
1196,11
1197,9
1198,7
1199,14
1200,14
1201,5
1202,13
1203,5
1204,3
1205,16
1206,3
1207,7
1208,5
1209,5
1210,7
1211,12
1212,2
1213,5
1214,13
1215,4
1216,4
1217,4
1218,15
1219,8
1220,10
1221,3
1222,0
1223,6
1224,5
1225,12
1226,3
1227,10
1228,13
1229,1
1230,3
1231,9
1232,10
1233,14
1234,10
1235,14
1236,10
1237,0
1238,0
1239,3
1240,10
1241,10
1242,12
1243,10
1244,15
1245,3
1246,10
1247,15
1248,10
1249,1
1250,1
1251,4
1252,14
1253,2
1254,3
1255,10
1256,4
1257,10
1258,8
1259,7
1260,8
1261,13
1262,6
1263,0
1264,3
1265,8
1266,8
1267,3
1268,3
1269,8
1270,7
1271,15
1272,10
1273,15
1274,10
1275,6
1276,10
1277,10
1278,15
1279,14
1280,15
1281,10
1282,7
1283,10
1284,10
1285,0
1286,7
1287,10
1288,4
1289,3
1290,8
1291,3
1292,4
