,data_clean
139,check day line emergency exit seat cost
140,verified review excellent flight air serbia new york belgrade outstanding cabin crew
141,great meal great service offer smile
142,airplane clean seat comfortable overnight flight
143,great service sell airline passenger surely look forward fly air serbia
144,verify review air serbia ground staff belgrade airport extremely rude arrogant think understand basic customer service
145,plane belgrade abu dhabi a319 flight hour kind inflight entertainment screen flight path
146,positive seat comfortable ample leg space
147,travel dus beg excellent experience totally refurbish airlplane brand new a319
148,hot meal friendly staff bug iron
149,fly vancouver gatwick return seat tiny cramp padding food nearly inedible
150,crew great friendly
151,encourage airline upgrade seat little food
152,flight time old a310 seat cramp avod
153,food poor service crew
154,price ticket cheap direct flight yul lis service bearable value
155,lgw yyz yyz lgw staff rude especially boarding gate
156,flight cramped staff come round meal time offer drink drink offer food terrible
157,satisfied service fly
158,verify review enjoy flight aboard air zimbabwe harare johannesburg crew friendly service excellent
159,arrive ahead schedule check fast smooth seat comfortable
160,trip verify bangkok hat yai it´s cheap low cost airline ground staff cabin crew time polite friendly
161,course amenity complimentary service price pay thing improve legroom space narrow hour flight
162,verify review slightly annoy airasia reschedule departure time hour later kuala lumpur connection plenty time
163,wait massive que hand luggage document check arrive desk tell straight security far impressed onboard crew great usual
164,trip phuket month fly airasia gold coast excellent airline leave time arrive advertised arrival time cabin crew great food bad flight entertainment
165,short travel time airline fly phuket good price
166,fly kuala lumpur vientiane air asia good ground staff cabin crew excellent aircraft clean travel cost range drink food good
167,outbound flight depart time return actually depart little early
168,mind low price pay ticket half hour flight air asia provide excellent value money certainly use
169,night flight dmk kul week flight delay minute
170,week friend flight sin cgk kul flight delay minute
171,pay midnight charge return trip airport mention normal hassle delay
172,trip verify boracay manila min flight zero info delay screen let people know announcement 4hr delay plus stick plane arrival
173,service friendly little distant especially consider flight
174,food great palatable probably good
175,flight leave time hold kuala lumpur wait passenger immigration
176,airasia zest low cost airline weak ground service delay flight mislead information flight depart
177,aircraft look nice entertainment
178,cheap flight cost hide flight cancel seriously delay cheap ticket help
179,regular traveller pacific year aircalin service especially good
180,check service excellent friendly staff helpful speak french
181,menu surprise generous meal drink present immaculate style
