,data_clean
937,wife fly month old son london burg overnight thank wonderful staff brilliant experience allocate centre row son lay sleep attentive regard milk
938,food adult great drink highly recommend
939,jnb iad jnb old dirty plane blanket smell limit choice movie
940,return flight cancel technical issue gate staff transit police iad time passenger start ask question reason delay turn cancel flight day row
941,lhr jnb a340 business flight generally good
942,friendly crew food adequate quality quantity good
943,wine excellent
944,seat relatively comfortable fully flat bed
945,minor delay baggage collection jnb
946,wonderful experience jfk jnb business class a340 lie flat seat notch round comfort food staff entertainment
947,sfo las flight delay minute fine consider budget airline expect service complimentary piece check baggage delightful spacious legroom friendly cabin crew free soft drink serve enjoyable experience southwest
948,trip verify business flight spicejet chennai mumbai airport decent support flight crew member friendly train deal passenger
949,overall good comfortable flight journey
950,fly bangalore bangkok month good experience time arrival time departure
951,cabin staff operative friendly
952,negative legroom comfortable longer travel
953,time departure blr min early kolkata
954,relatively old aircraft maintain
955,quality food serve good
956,uncomfortable seat fix odd partial recline angle little padding hellish red eye cross country flight
957,hour delay spend seat plane increase misery
958,terrible delay poor customer service airline delay miss connection end fly day end flight houston puerto rico
959,delay 2hrs leave detroit pay small fortune baggage fee
960,return delay leave denver
961,flight laguardia cancel wait airport hour ground staff entirely unhelpful
962,flight chicago delay hour ground staff entirely unhelpful
963,shanghai wenzhou min flight cheap ticket book directly website pay chinese bank card english version online payment available
964,legroom tight aircraft look clean chinese english hardly understand
965,
966,smile crew recommend cheap ticket bother fly regular airline
967,fly dubai colombo recently board dubai quick flight time crew friendly courteous food good
968,wasn personal ife plus family seat nuisance sort dis comfort journey
969,good time fly srilankan
970,flight frankfurt colombo time comfortable service good
971,flight colombo london delay arrangement rush connect flight canada heathrow able connection
972,cabin service excellent entertainment service flight good flight colombo
973,use flight 503 colombo london 12th september 2012 delay approximately minute service provide cabin crew bad experience use airline good service
974,management late customer choose airline fly london colombo
975,flight service excellent choice hot meal economy class queue minute check
976,airline impressive cabin staff efficient ground staff need check minute flight tokyo
977,excellent service staff airport plane flight time way holguin montreal food decent free complaint plane way holguin old seat bad
978,departure flight delay hour moncton hour varadero
979,crew apologetic food decent movie
980,bahama easter weekend family flight delay hour spend hour airport
981,way bahama flight delay hour spend hour airport
982,think acceptable understand delay people twice acceptable
983,trip verify zurich sao paulo great experience
984,friendly check fantastic lounge swiss class lounge zurich good experience great food great service great design
985,flight treat super friendly staff excellent food wine great sleep thank comfortable seat bed arrival fast efficient sao paulo
986,wish flight good unfortunately flight impressive swiss
987,plane small seat configuration cabin seat fairly spacious
988,inflight somewhat average recent movie game decent quality cabin crew service exceed expectation expect ice cream economy class
989,thing lack onboard wifi commonly available airline day
990,recommend airline long haul flight
991,gva lhr flight geneva london delay hour bad weather london
992,flight small sandwich beverage swiss chocolate
993,flight use avro rj100 cabin pretty noisy compare a320 comfortable flight plenty leg room economy class
994,zurich singapore flight extremely poor
995,recently leg opposite direction expect far comfort food service ife hour flight aircon hour flight horrible seat positioning seat place directly seat lean neighbour lap watch ife eventually come disappointing uncomfortable flight
996,lim eze gig lim airbus a320 excellent inbound fly business good food nice leather seat spotless aircraft way lima economy good food helpful crew
997,flight time
998,fly tam airline são paulo guarulhos frankfurt boeing 300er torture seat tight
999,tam use 3x4x3 layout leave tight aircraft seat bad recline
1000,service poor little food
1001,verified review trip tap portugal brasilia lisbon bad long haul flight experience
1002,cabin crew rude unsmil inflight entertainment poor cabin date equip narrow seat meal horrible serve dirty fold tray
1003,horrible hour flight
1004,pleasant flight gatwick porto tap portugal a319
1005,flight minute late arrival strong head wind
1006,crew good care
1007,check quick lounge gatwick quit relax fly
1008,tap manchester funchal lisbon sunday 1st june delay hour lisbon couldn crew
1009,seat leg tight inflight service virtually non existent poor dry sandwich half glass wine begrudgingly
1010,return flight lisbon manchester delay today 8th june tell hour information explanation shrug
1011,
1012,lisbon madeira funchal old aircraft look style chunk bulk old leather seat service board cabin staff strike
1013,flight portugal brazil seat work entertainment come run item lasagne
1014,staff rude solve problem
1015,bucharest barcelona flight time meal okay
1016,
1017,flight staff bad steward drop coffee pleasant
1018,
1019,airplane good shape flight acceptable non low cost flight otp bcn
1020,fly business pay little economy genuine seating service uniformly excellent
1021,business highly variable excellent flight real 1980 style shocker
1022,verified review fly singapore bangkok thai airway expensive ticket short hour flight
1023,service onboard ground excellent food delicious aircraft clean seat comfortable ife responsive definitely fly thai airway future
1024,melbourne bangkok good flight thai airway
1025,easy check board flight probably
1026,excellent staff food good thai airway boe 777 seat layout good carrier
1027,good legroom flight number people comment
1028,777 300 thai use hour flight bali bangkok configuration business class angle lie flat seat excellent route
1029,ife somewhat outdated huge selection movie personally watch movie short regional flight
1030,service food acceptable outstanding
1031,long haul flight thoma cook
1032,good seat good legroom nice food good price
1033,departure way time
1034,fly week gran canaria flight bit late leave plane pack
1035,flight late pay seat son passenger seat crew seat seat
1036,disorganised contact thoma cook sit booked seat way know non crew know sit
1037,fly arn ayt thoma cook scandinavia airline a330 hard seat flight entertainment poor movie ceiling screen
1038,like food staff service nice friendly
1039,manchester lanzarote depart 45min late fight divert fuerteventura engineer aircraft spare fix broken plane fuerteventura
1040,arrive lanzarote late
1041,return flight lanzarote manchester delay 4hrs tell operational problem
1042,fly thoma cook dalaman 21st september hour delay hour delay come home late flight obviously lose night sleep week holiday seating tight cabin impressed spend lot money year feel company let standard slip
1043,travel edinburgh lanzarote seat excellent lot legroom b737 fly thomson
1044,fly home zante yesterday 16th september impressed new b737 800 aircraft nice crew look
1045,outward return flight right time
1046,great flying experience definitely use
1047,lgw kefalonia outbound inbound flight cramp complete young unhappy child hour cabin staff try hard sale meal snack include flight comfortable flight glad
1048,fly punta cana dreamliner good seat pitch seat bit narrow
1049,thomson ryanair long haul apart small water coffee meal drink purchase include water free long flight
1050,entertainment good staff pleasant efficient trip meal terrible passable return
1051,fly jamaica 9th jan 2014 upgrade premium class receive premium service
1052,board passenger drink flight hour
1053,brochure dreamliner new 767 fly oldest uncomfortable plane
1054,thailand new dreamliner thoroughly disappoint food awful cabin crew disinterested eye contact window seat nightmare
1055,travel air asia change bangkok service excellent
1056,uncomfortable dirty aircraft
1057,food drink delay compensation hide exceptional circumstance
1058,bristol malaga return 7th july 14th july outbound flight excellent extra legroom seat plenty space cabin crew attentive helpful flight arrive minute early
1059,return journey extra legroom seat time cabin crew couldn bother greet enter trouble food drink reasonably price know entertainment ipad captain informative let rude cabin crew easily rectify
1060,flight thompson airway delay hour communication compensation year old contend
1061,incur cost meal drink taxi fare previously budget
1062,airport terrible onboard better advise voucher board late limited food option long wait
1063,overall experience outbound awful
1064,inbound better food option restrict bad planning
1065,cancel melbourne brisbane flight inevitably mean pay twice compare airline require minute ticket
1066,colleague flight cancel different route similar operational reason explanation
1067,good flight marrakech amsterdam transavia
1068,flight time good plane
1069,flight attendant helpful nice
1070,leg space decent seat comfortable
1071,old aircraft seat narrow uncomfortable premium class look different
1072,food average strange tasting serve unsuitable packaging
1073,cabin staff extremely positive friendly helpful
1074,bad flight miami tel aviv istanbul turkish airline
1075,passenger quiet calm crew professional nice
1076,
1077,food
1078,flight time min delay runway arrive ist hour early
1079,thing like seat stiff hard
1080,turkish good price mile unite star alliance
1081,turkish airline istanbul london heathrow new plane maintain clean nice
1082,short flight food great ife new great selection
1083,flight delay 1hr weakness turkish airline home base airport istanbul ataturk total mess
1084,overall good flight recommend turkish airline short flight long haul
1085,recent trip istanbul trip turkish airline easy vote good airline helpful service receive check flight flight staff excellent food drink provide genuine smile experience flight staff
1086,1956 ams ist old aircraft business class outdated uncomfortable joke zero comfort
1087,0673 ist mba 757 single aisle aircraft suitable long haul flight class seat compare airline like frequently use route poor standard lacking comfort
1088,service run food mediocre run choice selection 25ml bottled wine poor
1089,flight 760 istanbul dubai great aircraft lot seat free
1090,crew excellent kind food great
1091,service onboard excellent
1092,fly manchester bangkok january 2014 flight depart time arrive bangkok minute early
1093,overall good experience help friendly hardwork crew
1094,overall excellent experience recommend
1095,flight bkk prg kiev good price schedule ideal delay new terminal kbp
1096,service fine extra need pamper look pay
1097,trip verify time flight zrh ewr friendly comfy seat good food little class standard
1098,fly united airline entertainment great season
1099,verified review fly united time month year recall time depart flight leave time
1100,maintenance problem crew issue inbound aircraft issue flight queue problem lead delay
1101,flight manchester philadelphia super plenty seat space family seat cabin crew attentive supply complimentary drink food
1102,entertainment great seat multiple option movie music plenty kid occupy hour flight airline provide ear bud
1103,philadelphia san francisco entertainment hour flight complimentary drink snack cabin space
1104,entertainment flight long expect
1105,great flight seat aircraft old good overall condition depart time heathrow arrive early chicago
1106,service board excellent inflight entertainment food pretty good
1107,cabin crew friendly luggage arrive happy united
1108,fly dulle washington london heathrow 7th april 2014 economy good flight experience usually sit window fly time opt aisle life easy fly
1109,economy service class cabin crew excellent nice look cabin crew genuine smile false grin
1110,free television seat nice addition thank unite great trip
1111,fra sfo 747 400 star review late minute delivery bag sfo priority bag apparently priority service onboard impeccable staff attentive professional long flight comfortable possible need start hand pyjama bed softer blanket wide want passenger good sleep
1112,food special mushroom soup small cup good course beef tough
1113,731 business class lhr clt a330 300 24th october 2014 good seat great service good food
1114,unfriendly staff break seat pillow drink service hour bad food unclean toilet old movie russian uzbek
1115,drunk passenger onboard annoying passenger staff handle
1116,trip verify pleasant flight vietjet air
1117,reasonable price provide good service
1118,airplane new comfortable seat food good inflight crew helpful friendly
1119,possibility reserve seat book flight great online check hour prior boarding
1120,good online check possible prior departure travel hour prior flight
1121,flight hcm hanoi excellent fancy good legroom clean aircraft good service time
1122,read review come surprise return journey good old plane
1123,food excellent overall experience fantastic
1124,book online fantastic price vietnam airline
1125,flight sgn a320 comfortable ample legroom economy
1126,crew service efficient food drink serve okay
1127,flight sgn kix new plane interactive entertainment feature unfortunately use night flight return flight kix sgn old clip
1128,flight time food okay service good
1129,impressed level service hong kong hanoi food excellent esp seafood staff friendly professional
1130,flight time return
1131,good ticket price
1132,good direct flight gatwick hanoi chi min gatwick direct
1133,seat comfortable despite hour way come
1134,service good
1135,domestic flight great fly past year usually flight year economy business class flight time staff helpful courteous
1136,virgin america great airline fly
1137,crew helpful plane clean seat pretty comfortable hour flight orlando
1138,like plane interior decor great like order food seat drink free
1139,great low cost option fly
1140,london gatwick orlando int finally receive good flight virgin
1141,crew good food nice inflight entertainment good despite screen freeze hour prior landing set recommend
1142,fly time little red offer excellent service good price
1143,premium rate check baggage class aircraft pleasant flying experience
1144,good flight iad
1145,airbus330 300 generally comfortable seat hard flight
1146,fas good flight plenty run cabin water juice
1147,flight depart time
1148,arrive iad late weather condition
1149,fly airbus a340 600 lhr jfk seat bit tight economy plane feel slightly claustrophobic
1150,good flight crew efficient smoothly begin end pleased experience
1151,come jfk lhr night flight plane seat feel nice smoothly crew friendly efficient
1152,verify flight cancel friday night replacement flight day afternoon fly sydney adelaide melbourne
1153,annoying leave sunday head flight book adelaide sydney adelaide delay worry catch connect flight melbourne
1154,horrible service
1155,verify review horrendous experience fly melbourne gold coast virgin australia cram row business class row economy class 737 800 economy legroom
1156,bad knee near chin day recover pain flight inflight entertainment meal tiny cookie cup stale orange juice yuck
1157,nan bne nan pleasant experience
1158,clean aircraft great service excellent food nan
1159,friendly crew safety otp
1160,inflight entertainment cramp seating arrangement long haul flight auckland bali brisbane
1161,staff average good thing travel virgin australia food beverage offer decent
1162,cramp seat room couldn tray passenger recline restricted uncomfortable
1163,helpful staff speak passenger situation ask consider
1164,probably good airline pacific online check able choose seat pay sale price ticket sadly undo good thing airline
1165,inflight entertainment good food usual economy style portion
1166,bring food long flight
1167,melbourne entertainment leg room fantastic service expect service industry
1168,return consistency service food good
1169,anr lcy anr friendly check staff friendly flight attendant flight
1170,good sandwich free drink include small belgian chocolate landing nice touch short flight
1171,good seat pitch
1172,bad service volaris want charge carry fit perfect plane charge
1173,staff rude try charge
1174,seat comfortable
1175,flight beirut barcelona delay hour plane clean bad flight barcelona beirut flight suppose p.m. happen delay tell reason determine time delay
1176,a.m. tell flight refuse hotel airport realize vuel flight delay cancel
1177,fly cardiff alicante cardiff september aircraft modern clean time flight crew pleasant efficient budget airline complaint
1178,late
1179,use vuel ryanair vueling flight delay hour
1180,week malta barcelona route flight delay hour
1181,sunday flight time month
1182,paris orly lisbon brand new a320 200 ground staff extremely rude counter open flight check cause long queue counter line check baggage drop
1183,flight time cabin crew friendly
1184,cancel flight rome barcelona reason collect luggage line plane load people flight wait place flight majorca change plane barcelona forget luggage connect flight
1185,day later arrive arrive hrs late
1186,flight bcn dtm time check machine airport barcelona save lot time legroom lot good seat non reclinable
1187,flight dtm bcn good flight friendly service legroom good
1188,expensive ticket 255 return prg bcn compare low cost airline service buy onboard policy
1189,staff deliver professional service guarantee passenger comfort interference loud group passenger speeding board
1190,standard low cost seat space recline
1191,trip verify absolutely horrible customer service
1192,flight laguardia cancel book flight hour later explanation look flight jfk newark airport
1193,book flight time delay
1194,bodoe bergen dash good staff friendly polite cross south norwegian mountain landscape perfect noisy kind aircraft
1195,trip verify fly yesterday luton vilnius late schedule today fly luton vilnius late hour
1196,100 late flight evening
1197,space seat terrible comfortable position bag allow overhead storage reduce leave space
1198,staff wonderful good wizz rest terrible
1199,perfect early morning flight depart time arrive minute early
1200,cabin crew friendly professional soft sell approach sell people buy
1201,airline great discount offer food drink save
1202,a320 clean tidy seat comfortable
1203,hour delay information ground staff available answer question
1204,bad airline experience
1205,check online euro airport expensive ticket check euro cabin bag
1206,fly milan budapest comfy flight good overall experience
1207,fly great price
1208,flight way time staff check luton airport onboard polite friendly plane clean tidy budget airline impressed
1209,turku budap return flight flight time drink plane affordable seat comfortable recline crew nice perfect good english bag late land
1210,price good bag cost 20eur check flight like 60eur
1211,verify review time direct flight singapore xiamen horrible experience cabin crew treat like prisoner bad service small leg room food terrible think return trip good serve crew experience pretty awful
1212,remember low cost airline provide low quality service individual display deck phone switch seatbelt sign switch entertaintment hour trip serve drink strongly recommend airline situation allow
1213,fly week xiamen airline start good service year ego
1214,service poor staff friendly like arrogant
1215,food poor
1216,travel shanghai xiaman xiaman airline pleasantly surprise friendly service high quality food return evening flight
1217,compare domestic airline china xiaman airline good experience
1218,travel time new york paris year airline reliable crew friendly efficient
1219,trip verify a320 seat pretty comfortable seat lot functionality
1220,inch width seat comfortable
1221,short haul airline seat good
1222,seat comfortable plenty leg room
1223,verify a321 comfortable crew bad plane new food free buy food airport recommend fly aeroflot
1224,understand thing aeroflot use a320 comfortable seat space leg flight riga moscow half hour flight
1225,time flight dubai moscow hour flight use totally uncomfortable space leg boe 737 800 wife 160 tall 190 tall bad flight experience life
1226,5th time fly long distance hour aeroflot great experience
1227,premium economy big seat legroom economy price amazing long flight
1228,staff friendly
1229,wireless internet available board
1230,overall great experience pay
1231,seat a332 comfortable aeroflot a319 320 fleet
1232,recline seat forward average legroom small
1233,hand personal entertainment occupy long flight bearable
1234,insufficient leg room narrow uncomfortable seat impossible sleep
1235,seat good choice
1236,tight seat room leg
1237,
1238,verify review comfortable seat embraer 195 decent legroom seat width
1239,ife present charge port
1240,seat 91k seat plus available legroom know plus stand
1241,seat hard hard actually narrow coach class
1242,verify review boeing 787 super seat great lighting good flight entertainment width seat good legroom good good cushioned seat pillow
1243,love experience sit aisle seat accessibility seat good storage space
1244,air new zealand 777 300 good plane unfortunately 777 200 long haul auckland vancouver 3x4x3 layout
1245,bad leg room long haul flight
1246,narrow aisle narrow seat bad leg room
1247,entertainment service fine usual air new zealand win fly air new zealand long haul
1248,seat rear aircraft comfortable economy
1249,los angele miami miami barbado leg american airline boe 737 800 far bad airline travel
1250,miami food turbulent flight attendant lose galley flirt away passenger
1251,aircraft poor legroom bad service
1252,seat hard uncomfortable
1253,outbound flight cancel hour later flight lose hotel reservation refund
1254,ana nippon airway premium economy class seat nice comfortable flight boeing 777 300er
1255,instead recline seat forward impact recline comfortable long flight
1256,seat comfortable hrs flight
1257,economy class seat leg room excellent
1258,comfortable seat excellent service flight feel comfortable hour flight lax icn incheon korea
1259,trip verify like embraer e95 aircraft it´s new bright feel it´s fresh seat horrible luckily i´m short flight hard nice flight ask pillow provide immediately it´s fluffy care problem
1260,a320 fairly comfortable flight tlv vie despite hour long
1261,problem aircraft entertainment
1262,food serve adequate service good
1263,decent legroom price good
1264,bad flight
1265,seat great european route headr problem
1266,flight comfortable
1267,usually fly business class long haul time sell seat economy surprised flight bangkok comfortable
1268,travel lot bad experience long haul flight economy
1269,seat row 777 low seat pitch result extremely uncomfortable flight despite fair service huge ptv
1270,good company travel great lip service short flight good entertainment board satellite channel
1271,embraer aircraft good seat 2x2 good case azul aircraft clean seat leather good
1272,verify review need extra space leg suggest try seat emergency exit allocate seat check adult obvious reason seat recline food tray locate arm rest table damage dirty
1273,sit row comfortable slimline seat clean modern airy interior
1274,hour flight seat pitch perfect somebody occupy middle seat feel spacious
1275,return flight row 14f spacious comfortable
1276,world traveller plus long haul flight abu dhabi fantastic
1277,level service staff excellent seat comfy lot leg room width
1278,uncomfortable seat hardly recline
1279,verify airline bad seat cathay pacific new 777 seat
1280,usual 777 seating cramp
1281,furthermore leg room poor
1282,fly airline include low cost carrier poor seat
1283,comfortable seat pad leg room entry exit seat table great size arm rest good size
1284,entire seating room plenty leg room suitable tall person tall 190 connectivity port available convenient head rest bit hard help prevent head movement sleep thing mention screen angle adjustable passenger decide change seat angle view angle screen uncomfortable
1285,seat good provide sufficient legroom width
1286,trip verify 21f awful seat narrow seat remove inflight entertainment far away utilize ear bud short
1287,nice extra room expense small seat entertainment
1288,old fashioned flight 10h flight terrible
1289,trip verify a319 seat little tired old interior comfortable
1290,legroom good small
1291,seat short flight wouldn fly easyjet old interior hour
1292,good seat good service
1293,seat comfortable compare airline special point choose airline
1294,seat narrow uncomfortable a380 large airliner carry passenger cut size seat
1295,hardly padding seat basic certainly long haul flight
1296,spacious cabin seat emirate a380
1297,power device available good seat pitch recline
1298,feel roomy far aft airbus row spacious comparison forwards main deck
1299,aircraft clean tidy inflight entertainment good seat 3x4x3 layout
1300,staff nice ask glass water takeoff staff bother totally forget
1301,legroom good seat comfortable
1302,seat comfortable comfortable cathay pacific singapore airline
1303,seat narrow time configuration mean narrow aisle
1304,trip verify pay economy space seat boe 777 flight dublin abu dhabi
1305,etihad economy space section pleasantly surprise space seating offer food option value money
1306,book long haul flight good option
1307,seat hard uncomfortable
1308,fly long distance regularly problem airline
1309,cramp seat
1310,connect flight indigo seat arrangement spacious offer leg room etihad
1311,seat small accord flight hour
1312,hour flight seat uncomfortable accord flight hour
1313,abu dhabi bangkok abu dhabi seat uncomfortable direction ptv screen function time
1314,eva air great airline great service
1315,plane aisle seat economy severely limit leg underseat storage large ife equipment seat
1316,need fix reasonably comfortable seat horrible average height tall
1317,taipei los angele seat 71b ptv screen good flight legroom big recommend seat seat good
1318,terrible dreadful awful word uncomfortable seat
1319,seat recline
1320,verify review good cabin seat seat window seat perfect space leg room seat width class
1321,good ife date program channel foot rest aircraft type
1322,seat comfortable legroom good
1323,seat hard seat depth short provide adequate thigh support
1324,impossible sleep long haul flight hardness seat
1325,seat good legroom seat pitch let service bad
1326,kenya airway boe 787 seat inch pitch comfortable flight nairobi mumbai
1327,
1328,service great
1329,book klm group family member aal ams bkk general delay hour start flight
1330,klm manage delay luggage day mean stay additional day bangkok wait arrive wait answer request compensation regard seating 777 feel like cattle way slaughter life limited space return trip change upgrade premium economy joke seat recline terrible
1331,reset time attendant food accord menu flight meat ball suppose chicken way vegetarian breakfast long flight
1332,bad airline experience
1333,klm follow bad trend b777 class layout 3x4x3 b777 300er seat footr little comfort long haul flight
1334,seat tiny hard obese man sit like half seat expect stewardess
1335,usually b747 legroom poor lufthansa airline particularly poor tend bit torture hour flight
1336,trip verify ask good economy seating good issue sensitivity ife screen press hard selection click discover bit easy clicking phoneset
1337,verify flight malaysia airline good good experience economy class check arrive
1338,fly mas flight auckland kuala lumpur a330 economy class pitch inch space legroom ife good update movie
1339,good seat pitch screen good seat bit uncomfortable cushion sit access okay
1340,expect economy seat good seat pitch
1341,overall seat okay seat recline disappointment
1342,trip verify soft wide comfortable leather seat charge socket storage wide armrest comfortable recline
1343,spacious legroom section plane
1344,trip verify seat legroom extra width recline comfortably comfortably soft leather seat storage small aircraft
1345,trip verify domestic flight a321 seat wide legroom passenger pass aisle passenger standing
1346,seat comfortable
1347,trip verify hard seat filthy carpet food card floor
1348,legroom okay tiny screen channel available audio
1349,horrendous seat space terrible design
1350,shocked small seat area seat narrow usually fly a320 route seat inch wide notice
1351,seat narrow legroom non existent
1352,knee jam hard seat design seat recline seat pivot forward possible way comfort
1353,add seat design padding lead muscle spasm hour flight gee fun hour
1354,verified review a380 seat comfortable expect great company economy ticket comfy space tall people
1355,definitely recommend long flight like case feel uncomfortable
1356,verify review boeing 777 seat comfortable economy class leave space passenger relax fall asleep adjustable pillow seat clever try suit passenger different height airline experience far feel relax positive hour sit plane leave plane happy face
1357,186 tall seat a320 comfortable
1358,leg room generous seat recline
1359,seat plane comfortable compare b773er seat
1360,montreal doha aircraft comfortable compare airline
1361,term legroom excellent inch
1362,seat recline pretty good
1363,broad guy normally airline seat uncomfortable restrict knee qatar economy seat good comfortable space stretch leg
1364,seat close uncomfortable seat like soldier stand
1365,sort flight feel uncomfortable seat
1366,average seat recline mechanism legroom width tall wide person
1367,trip verify boeing 737 800 aircraft old year seat awful headrest slide
1368,cost cheap
1369,little leg room hour flight
1370,food entertainment machine good service bit attitude
1371,overall poor experience
1372,business seat half offer upgrade check
1373,happy pay avoid awful economy seat
1374,awful reclining seat person stick seat face
1375,footr hard stretch foot underneath seat bar underneath seat hard leg comfortable
1376,upper deck economy seating good seat window generous storage area window seat
1377,seat uncomfortable hour little lumbar support end sore
1378,seat feel hard recline good economy seat
1379,trip verify seat hard plastic vinyl cover inch foam
1380,long flight florida lima butt kill time
1381,need bring cushion long flight like sit bleacher ball game
1382,trip verify extremely narrow seat boeing 777 300er slim asian person body stay position hour
1383,nice legroom emergency row regular seat
1384,seat legroom short haul flight surprisingly good
1385,airbus boeing add seat
1386,rj100 seat row offer space luggage cabin
1387,seat view obstruct engine noisy
1388,luggage seat space foot
1389,swiss seat bad recline pretty decent manage sleep hour flight
1390,glasgow antalya daughter age slim row seat hard toilet way plane
1391,little room seat recline seat recline space
1392,seat feel hard quickly feel stiff difficult walk little room queue toilet right
1393,return journey seat little good
1394,tiger airway seating perfectly adequate short flight good competition australia
1395,thing note people great hand luggage fit locker good aisle seat
1396,experience good crew welcome seat comfortable welcome drink prior
1397,food selection good hot cold snack offer meal
1398,cabin staff attentive offer great service
1399,seat narrow hard uncomfortable
1400,legroom average seat pocket position limit space
1401,uncomfortable seat travel long time
1402,fly long haul regularly seat virgin atlantic narrow seat
1403,seat hard uncomfortable need pillow sit comfort
1404,trip verify seat pretty bad outward flight row tilt semi recline couldn adjust
1405,slide seat comfortable
1406,legroom awful 5’7 knee cram seat
1407,bad low seat pocket hard metal curved edge nice bang knee protrude bit god help height suffer
1408,trip verify seat 12a 12f onboard a321 wizzair wonderful legroom window
1409,recline width seat good
1410,verify review appalling standard lounge shower washroom dirty unserviced
1411,air canada disadvantaged lounge offer good service good food airline
1412,air canada maple leaf lounge domestic lounge vancouver airport decent size seating option
1413,wifi good signal inconsistent
1414,standard food offering good beverage selection
1415,staff friendly helpful
1416,
1417,wide range food adequate plentiful
1418,wifi available
1419,spacious comfortable environment friendly staff excellent food drink plenty space seating plentiful
1420,verify review limited food beverage selection nice food snack refreshment seating space location okay centre boarding gate
1421,okay short time wait delay bore small lounge
1422,trip verify travel ana use lufthansa lounge sterile atmosphere good selection magazine friendly staff choice food limited choice drink poor beer wine
1423,good wifi availability european power socket reserve corner class passenger pathetic
1424,business lounge suvarnnabhumi airport bangkok airway great good service variety food served connect flight munich lounge shower room fresh long fight relax quality lounge
1425,great lounge relax food generally good notice cut premium spirit crisp total lack decent magazine shame profit business class passenger
1426,trip verify lounge domestic flight write noisy brim hardly refreshment morning refreshment arrive mad dash totally useless compare international lounge perfect fit international standard
1427,trip verify beautiful lounge food poor kind mini sandwich bit celery carrot package cracker
1428,variety bar snack real food
1429,verify review lounge clean spacious toilet easy wifi weak bad
1430,food offer poor salad sandwich look smell stale way year ago time
1431,excellent lounge good visit calming good hot cold food selection good old lounge opinion better impersonal hong kong lounge mention lot
1432,conveniently place welcome staff great ambience decoration particularly like elise von stolk ceramic artwork
1433,excellent lounge plenty seat wide range good food reading material free wifi proximity gate
1434,nasi langsar cook request fantastic malaysian meal prior boarding
1435,staff friendly extremely professional
1436,trip verify surprisingly nice lounge extremely large especially view number flight abidjan nice decoration artwork local artist good choice food beverage self service
1437,wifi good password
1438,verify review nice lounge helpful staff good quality food overcrowded peak time
1439,enter lounge a.m. maximum capacity friendly staff member kindly table offer bring soft drink
1440,wifi speed excellent
1441,business class lounge abu dhabi good lounge service totally let stylish uncomfortable seat lack toilet
1442,trip verify luckily arrive quiet time limit seat busy later evening usual airport lounge outstanding food letdown limited use outside facility
1443,great lounge lot seat area good selection eat drink
1444,great problem staff good clean shower toilet area
1445,lounge huge nice assortment snack drink nice beef bourgignon offer
1446,plenty newspaper free wifi good speed
1447,
1448,trip verify excellent atmosphere friendly staff attentive willing cooperate necessary information case delay flight
1449,service food drink good seat room light good signal internet
1450,lounge busy peak time food good bathroom clean
1451,incredible service attentive friendly professional
1452,overall pleasant experience huge difference airport lounge
1453,bad lounge look nice like lounge little bit food towel shower morning try help towel
1454,vacuum quiet room min know room talk time rest need
1455,great service plentiful food present tasty
1456,comfortable seating good amenity
1457,large bar restaurant great seating area overlook tarmac
1458,champagne spirit decent wine available good selection hot cold food
1459,helpful friendly staff relaxing place
1460,trip verify pleasant space spend minute long flight europe final flight home
1461,weekday morning lounge busy day visit shortage seat nice breakfast barista coffee catch flight gold coast
1462,verify ordinary lounge poor food little option
1463,champagne serve business lounge business pay client offer bottle sparkle wine horrible
1464,
1465,clean good choice drink food easy access service limit operating time good drink long haul sydney brisbane
1466,world lounge lax bad rest airport lounge bit cramp night time international flight ask passenger speaker seat free bag seat cramp lounge area complete stranger idea
1467,entire feel shocking nice food option champagne service buffet maintenance scratch busy period
1468,nice atmosphere comfortable lounge great wifi stunning bathroom food choice poor view outlook
1469,friendly enthusiastic staff good service clean maintain plenty space
1470,good food choice sense appreciate
1471,lounge great place stay pass time flight
1472,lounge offer wonderful food plentiful drink wonderful shower
1473,limited food international newspaper scrap leftover slow wifi star alliance gold customer block fast lane stay away lounge cph airport
1474,know staff act like old monopoly time food downright disappoint staff need training service kindness
1475,verify silver kris lounge small service good
1476,entrance staff friendly
1477,food average compare lounge
1478,lounge small quiet
1479,atmosphere nice seat good
1480,different good changi airport krisflyer elite gold silverkris lounge london little bit dirty leftover stain carpet limited choice drink proper meal offer tiny tasteless sandwich crisp
1481,lot small noisy compare singapore
1482,trip verify pleasantly surprised saa premium lounge use passenger ethiopian airline good food selection love lunch buffet nice wine beverage friendly bar staff
1483,seat bit worn nice view like pleasant stay
1484,long queue enter lack seating food selection terrible angry personnel unfortunately like year reflect swiss airline approach customer service
1485,staff friendly efficient internet
1486,seat comfortable spacious food selection good comparison lounge
1487,drink selection good
1488,nice lounge great view runway good selection drink include different champagne hot food restaurant section
1489,pleasant shower freshen leather seat limo service terminal long haul flight
1490,staff usual swiss efficient friendly helpful
1491,main lounge large plenty seating little bit tired worn small business lounge comfortable good selection food variety drink offer
1492,staff friendly willing help washroom shower good order busy certain time
1493,wonderful lounge excellent food nice drink
1494,chef tgs ground staff poor english provide cold impersonal service
1495,small cip lounge nice choice drink snack
1496,limited office space business require comfortable sofa seat quiet space excess noise airport operation
1497,nice lounge conveniently close gate good efficient staff assist need
1498,nice quiet lounge good view apron
1499,excellent choice food beverage
1500,free wifi available
